_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arsenal v Aston Villa,0,-0.20,10,5,179,14,177,95,98,80,64,51,10,-10,5,-5,9,7,2,11,2,0,0,0,127,172,45,-10,-1,0,1,2,-4,1,2
Arsenal v Blackburn,0,1.20,8,2,162,-12,161,106,66,78,92,1,6,-6,7,-7,8,4,3,13,3,0,0,0,159,162,3,-3,-2,-1,1,2,-3,1,2
Arsenal v Bolton,0,-2.60,9,4,160,-16,156,100,65,27,112,28,2,-2,3,-3,5,2,0,5,-2,0,0,0,107,146,39,-5,0,0,-3,0,-4,3,0
Arsenal v Chelsea,1,-2.50,-4,-1,65,-5,66,33,29,-9,46,25,0,0,-1,1,-2,-2,0,-1,-5,0,2,0,11,69,58,5,1,0,-9,-2,10,7,0
Arsenal v Everton,0,-1.60,2,4,96,-7,100,68,29,12,64,24,3,-3,0,0,3,3,0,5,1,0,2,0,48,100,52,2,1,0,-8,-4,5,4,0
Arsenal v Fulham,1,-1.70,0,-1,15,-9,17,44,-17,36,9,-18,5,-5,1,-1,1,1,0,11,0,0,1,0,53,20,-33,2,-1,0,5,6,1,1,0
Arsenal v Liverpool,2,-2.90,1,0,-11,-5,-6,-4,-11,-32,-9,27,4,-4,-2,2,-4,0,0,1,-1,0,-3,0,-34,1,35,4,-1,0,-8,-8,1,0,0
Arsenal v Man City,0,-0.70,2,1,129,5,114,92,55,76,59,14,2,-2,3,-3,1,1,0,17,2,0,-3,0,127,118,-9,-5,-2,0,4,2,0,-2,0
Arsenal v Man Utd,2,-0.80,0,1,-32,-8,-36,-20,-27,-57,11,-1,-3,3,-5,5,0,-3,-1,-13,-2,0,-3,0,-42,-50,-8,3,0,0,7,1,-9,-6,-1
Arsenal v Newcastle,0,0.50,3,2,115,-16,119,69,41,32,69,12,0,0,2,-2,2,3,1,3,3,0,3,0,95,133,38,0,0,0,3,4,2,1,0
Arsenal v Norwich,1,-0.20,-4,-1,89,6,95,54,33,21,34,33,0,0,1,-1,-3,-5,-2,-5,-5,0,-2,0,53,94,41,6,1,0,-13,-9,5,4,-1
Arsenal v QPR,0,-3.30,4,1,116,-8,125,80,58,34,90,15,8,-8,2,-2,2,3,0,13,2,0,0,0,108,125,17,-3,1,0,0,2,4,2,0
Arsenal v Stoke,0,-2.20,1,-1,119,-14,117,75,50,15,87,22,2,-2,3,-3,3,1,1,4,2,0,-1,0,71,134,63,1,-1,0,-8,-4,4,4,0
Arsenal v Sunderland,0,1.00,1,1,148,0,148,94,57,41,84,27,3,-3,4,-4,3,0,1,6,-1,0,0,0,94,160,66,-3,0,0,-10,-4,3,6,0
Arsenal v Swansea,0,-0.40,5,1,68,-13,74,55,14,55,7,9,1,-1,0,0,5,3,0,4,-1,0,-1,0,74,87,13,5,-1,0,4,5,2,1,1
Arsenal v Tottenham,0,-2.90,3,4,59,-12,57,54,19,61,36,-25,5,-5,-3,3,4,2,0,10,2,0,0,0,114,44,-70,-5,0,0,-8,-5,3,3,0
Arsenal v West Brom,0,-1.30,6,2,214,12,225,138,90,72,140,19,1,-1,3,-3,3,3,0,15,2,0,-2,0,163,224,61,6,0,0,3,-1,-4,-4,2
Arsenal v Wigan,2,-0.70,5,3,142,-1,141,90,67,109,48,2,5,-5,-3,3,7,5,1,13,3,0,-1,0,187,146,-41,-8,1,0,-3,-2,3,1,-1
Arsenal v Wolverhampton,1,-0.40,2,2,188,-3,188,118,64,27,138,19,1,-1,4,-4,4,4,1,2,1,0,-1,0,120,182,62,-10,-1,0,-3,-3,4,0,0
Aston Villa v Arsenal,2,-0.30,0,1,-126,-2,-121,-81,-35,31,-120,-28,3,-3,-2,2,0,0,0,12,5,0,2,0,-11,-113,-102,2,-1,0,5,4,-1,-1,-1
Aston Villa v Blackburn,0,0.90,1,0,81,6,71,35,37,6,54,13,0,0,2,-2,3,1,1,-3,0,0,-2,0,31,80,49,5,0,0,0,1,3,1,2
Aston Villa v Bolton,2,-2.00,4,0,-73,-12,-60,-41,-28,-7,-45,-17,2,-2,2,-2,4,4,0,5,4,0,3,0,-8,-53,-45,4,-1,0,-2,2,0,4,0
Aston Villa v Chelsea,2,-3.50,-2,-5,-75,-9,-60,-44,-22,34,-42,-59,4,-4,-2,2,0,1,0,11,3,0,-1,0,28,-60,-88,9,0,0,1,0,3,-1,-1
Aston Villa v Everton,1,-0.10,4,2,-24,-8,-21,-27,5,13,-39,5,1,-1,2,-2,1,1,0,1,2,0,1,0,-3,-6,-3,1,-1,0,4,6,-1,2,0
Aston Villa v Fulham,0,-3.50,8,4,33,-5,38,33,22,88,13,-45,7,-7,3,-3,5,4,0,21,3,0,-1,0,144,43,-101,3,0,0,7,7,0,0,0
Aston Villa v Liverpool,2,-0.70,3,1,-110,-37,-107,-49,-66,-35,-24,-56,-4,4,6,-6,2,-2,-1,-4,0,0,-3,0,-37,-120,-83,-4,-1,0,1,-1,-3,-2,-2
Aston Villa v Man City,2,1.30,-8,-5,-165,-3,-167,-90,-82,-54,-91,-27,-3,3,0,0,-6,-1,0,-6,-2,0,0,0,-104,-166,-62,10,0,0,7,4,-3,-3,0
Aston Villa v Man Utd,2,0.60,-6,-2,-87,1,-95,-49,-47,-55,-51,6,-3,3,1,-1,-5,-2,-1,-9,-2,0,1,0,-104,-109,-5,-6,0,0,6,3,-2,-3,-1
Aston Villa v Newcastle,1,-0.20,-5,-6,-44,8,-51,-35,-19,-35,-23,6,-5,5,-2,2,-2,-3,0,-13,-3,0,-1,0,-71,-65,6,0,0,0,0,-6,-6,-6,1
Aston Villa v Norwich,0,1.70,3,0,37,2,33,15,15,-5,29,8,2,-2,-4,4,3,2,1,3,1,0,0,0,34,49,15,-1,-2,0,0,4,9,4,0
Aston Villa v QPR,1,-2.20,7,4,167,-6,180,100,75,71,87,23,1,-1,8,-8,7,5,1,12,5,0,0,0,154,184,30,15,0,0,2,1,-3,-1,1
