averageAgeDiff,_description,_OUTPUT,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
1.50,Arsenal v Aston Villa,0,3,0,82,-5,72,65,31,121,-11,-13,2,-2,-2,2,4,4,1,9,4,0,0,0,117,73,-44,1,-1,0,8,4,-9,-4,1
-2.50,Arsenal v Bournemouth,0,4,1,117,-5,114,61,67,58,48,25,6,-6,0,0,5,6,1,16,4,0,0,0,106,129,23,-2,1,0,1,0,-2,-1,1
0.30,Arsenal v Chelsea,2,-3,-5,-25,-10,-29,-7,-20,-15,-35,23,0,0,-4,4,1,1,-1,-1,-2,0,0,0,-20,-13,7,4,0,1,-3,0,7,3,-1
-2.40,Arsenal v Crystal Palace,1,3,2,288,-8,277,187,117,132,155,21,4,-4,-1,1,2,3,1,6,1,0,0,0,236,288,52,-2,0,0,-7,-3,2,4,1
-0.70,Arsenal v Everton,0,4,0,48,0,55,24,20,15,47,-16,1,-1,1,-1,5,5,2,1,6,0,0,0,36,54,18,10,1,0,-5,-8,0,-3,1
-1.80,Arsenal v Leicester,0,-1,0,160,1,158,81,97,68,72,37,5,-5,-5,5,0,2,0,6,6,0,2,0,99,169,70,-4,3,0,-12,-10,1,2,-1
2.80,Arsenal v Liverpool,1,-7,-6,112,8,118,53,62,29,37,49,-4,4,4,-4,-6,-3,0,1,0,0,1,0,52,133,81,2,0,0,2,0,0,-2,0
-2.50,Arsenal v Man City,0,-5,-3,-106,-5,-102,-65,-42,-11,-85,-10,-3,3,6,-6,-5,-2,1,-2,0,0,3,0,-75,-99,-24,0,-1,0,4,1,-4,-3,2
0.30,Arsenal v Man Utd,0,5,-2,-34,0,-33,-13,-25,-62,-37,61,0,0,0,0,5,3,2,-6,-1,0,0,0,-110,-1,109,7,-2,0,-6,1,6,7,3
0.80,Arsenal v Newcastle,0,-2,-4,1,-15,-4,17,-6,14,-10,7,1,-1,0,0,2,0,0,0,1,0,0,0,31,4,-27,-8,-1,0,5,1,-3,-4,0
-1.70,Arsenal v Norwich,0,0,1,216,-18,223,130,97,87,122,21,3,-3,-3,3,1,0,0,5,0,0,1,0,166,226,60,1,0,0,-4,2,7,6,0
0.90,Arsenal v Southampton,1,-2,1,123,-10,119,71,54,15,88,26,-1,1,-2,2,-1,1,0,1,-1,0,-1,0,86,128,42,-11,0,0,-16,-13,8,3,0
-1.10,Arsenal v Stoke,0,10,5,218,2,210,123,106,86,134,11,7,-7,3,-3,7,4,1,9,5,0,-1,0,203,218,15,0,1,0,-2,2,4,4,1
-0.80,Arsenal v Sunderland,0,1,0,221,-7,201,143,76,57,132,30,-1,1,0,0,-1,-1,1,-4,-2,0,0,0,155,212,57,-5,1,0,11,11,-4,0,2
-0.30,Arsenal v Swansea,2,3,3,126,-11,119,67,61,77,31,21,0,0,3,-3,4,5,0,3,0,0,0,0,100,121,21,4,-1,0,5,7,1,2,0
3.10,Arsenal v Tottenham,1,-5,-1,49,8,35,23,25,48,7,-6,1,-1,1,-1,-3,-1,-1,2,0,0,0,0,44,50,6,6,0,0,10,7,-9,-3,-1
-2.00,Arsenal v Watford,0,10,6,224,-10,225,121,98,116,91,12,6,-6,4,-4,7,4,1,2,1,0,-3,0,173,220,47,3,0,0,-3,-4,1,-1,2
-2.10,Arsenal v West Brom,0,7,1,229,-7,228,117,103,37,144,40,-4,4,4,-4,4,1,0,-7,-1,0,2,0,138,242,104,5,-1,0,-9,-2,8,7,2
0.70,Arsenal v West Ham,2,5,3,47,-22,58,26,25,35,32,-17,1,-1,2,-2,1,2,-1,11,4,0,1,0,84,72,-12,7,-3,0,-8,-1,5,7,-1
-0.80,Aston Villa v Arsenal,2,2,1,-91,5,-85,-48,-48,-12,-61,-21,0,0,-2,2,1,0,-1,4,2,0,-1,0,-19,-87,-68,4,0,0,-5,-2,9,3,-2
-1.50,Aston Villa v Bournemouth,2,-4,-3,-112,-1,-115,-67,-51,-51,-55,-14,-3,3,0,0,-3,-1,-1,-4,-2,0,0,0,-111,-122,-11,-4,-1,0,-5,1,1,6,-1
1.20,Aston Villa v Chelsea,2,5,5,-65,7,-76,-37,-26,11,-56,-15,0,0,-2,2,5,3,-1,3,4,0,-2,0,-24,-81,-57,-6,1,0,4,3,-2,-1,-2
-2.00,Aston Villa v Crystal Palace,0,6,7,49,-4,53,42,21,56,11,-4,4,-4,-1,1,1,-1,0,17,0,0,-3,0,66,40,-26,-11,0,0,4,5,-2,1,0
-1.30,Aston Villa v Everton,2,2,3,-113,-23,-112,-46,-59,28,-46,-89,2,-2,-2,2,2,-2,-2,8,2,0,-1,0,44,-121,-165,2,2,0,-1,3,3,4,-2
-2.70,Aston Villa v Leicester,1,-2,-2,52,-9,58,33,21,5,34,14,0,0,-5,5,-2,-1,0,3,2,0,-1,0,51,61,10,-2,2,0,-11,-7,8,4,-1
1.80,Aston Villa v Liverpool,2,-4,-3,-145,2,-145,-91,-56,-59,-58,-31,-2,2,-1,1,-2,-3,-1,-3,0,0,0,0,-65,-134,-69,8,1,0,-1,-2,4,-1,-2
-1.60,Aston Villa v Man City,1,-1,-2,-16,13,-21,-32,0,9,-23,-16,-3,3,1,-1,-1,-1,0,-6,-2,0,0,0,26,-15,-41,3,-1,0,-12,-4,12,8,0
0.60,Aston Villa v Man Utd,2,-4,-2,-56,-4,-60,-27,-15,-23,-27,5,0,0,-1,1,-4,-2,-1,4,0,0,4,0,-49,-68,-19,-4,0,0,-5,-2,6,3,-1
0.40,Aston Villa v Newcastle,1,-1,-1,42,9,37,11,23,23,28,-17,-1,1,1,-1,-1,-2,0,-4,-3,0,0,0,40,26,-14,-2,0,0,-4,-2,4,2,0
-2.00,Aston Villa v Norwich,0,0,0,63,12,63,25,33,26,34,-2,-1,1,2,-2,-1,2,0,3,2,0,-2,0,47,69,22,7,-1,0,1,-2,1,-3,-1
-0.60,Aston Villa v Southampton,2,3,1,-34,7,-34,-12,-12,-21,-3,-3,-2,2,4,-4,-2,0,-2,-4,0,0,-3,0,-33,-46,-13,-9,0,0,-5,-2,3,3,-1
-1.90,Aston Villa v Stoke,2,-5,-3,-39,-2,-35,-16,-19,-15,12,-30,-1,1,0,0,-4,-3,0,-2,-2,0,-2,0,-6,-32,-26,0,1,0,-7,-2,12,5,0
-0.90,Aston Villa v Sunderland,1,9,3,113,8,114,68,65,67,85,-18,2,-2,5,-5,7,4,1,11,7,0,0,0,130,121,-9,-4,1,0,-13,-8,8,5,1
-0.60,Aston Villa v Swansea,2,2,1,-11,-5,-8,3,-10,23,-29,1,-1,1,-3,3,1,1,0,5,0,0,-1,0,23,-12,-35,2,-1,0,-3,-1,6,2,0
1.20,Aston Villa v Tottenham,2,-8,-5,-69,8,-77,-35,-30,15,-30,-48,0,0,-1,1,-8,-4,-1,7,2,0,-1,0,-6,-66,-60,5,0,0,4,5,1,1,-1
-1.30,Aston Villa v Watford,2,5,2,130,-9,141,90,68,11,112,39,5,-5,1,-1,4,2,1,12,2,0,3,0,83,168,85,-2,0,0,-12,-6,14,6,0
-1.70,Aston Villa v West Brom,2,-1,-1,22,-6,19,18,-8,-9,21,0,-4,4,2,-2,-1,-2,0,-4,-2,0,1,0,2,28,26,-4,-2,0,6,11,6,5,-1
0.90,Aston Villa v West Ham,1,0,1,30,0,38,18,16,33,6,-3,1,-1,-2,2,-1,0,0,10,2,0,2,0,26,26,0,2,0,0,-2,-2,6,0,-1
1.00,Bournemouth v Arsenal,2,0,2,-64,9,-66,-28,-29,-9,-59,10,2,-2,1,-1,-2,-3,-2,3,1,0,-2,0,-78,-60,18,-1,-1,0,-8,-3,8,5,-2
1.00,Bournemouth v Aston Villa,2,6,2,88,1,89,58,37,35,74,-13,1,-1,-2,2,6,4,0,5,2,0,0,0,68,74,6,-11,1,0,0,0,0,0,0
1.40,Bournemouth v Chelsea,2,0,0,-22,-10,-19,-21,9,6,-36,18,4,-4,-5,5,1,2,0,9,3,0,-1,0,6,-23,-29,-1,0,0,2,2,0,0,-1
0.90,Bournemouth v Crystal Palace,1,0,1,84,-26,82,71,18,-9,81,16,-4,4,3,-3,-2,-4,0,-3,-4,0,-1,0,35,93,58,-8,1,0,5,8,4,3,0
