_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Angers v Bordeaux,1,3.70,1,1,-55,-2,-57,-15,-44,-10,-44,-3,2,-2,2,-2,0,0,-1,5,0,0,1,0,-28,-58,-30,8,-2,0,-3,-4,2,-1,-1
Angers v Caen,0,0.20,-3,-1,138,3,126,84,54,3,97,41,0,0,0,0,-1,-1,0,-2,-1,0,-1,0,23,130,107,-7,0,0,-1,0,4,1,1
Angers v GFC Ajaccio,1,-0.20,1,0,24,-5,28,15,3,-16,39,-4,-3,3,3,-3,1,0,0,-4,-1,0,1,0,4,17,13,-9,-1,0,-2,-1,1,1,0
Angers v Guingamp,1,-0.40,3,1,-26,-4,-30,1,-35,-24,-12,0,-2,2,-4,4,3,-1,0,-6,-3,0,-1,0,-29,-30,-1,1,0,0,1,3,2,2,0
Angers v Lille,0,3.00,-1,-1,-51,11,-51,-36,-13,-38,-24,13,-1,1,-2,2,2,1,2,-1,0,0,-1,0,-63,-61,2,1,-2,0,-2,-2,-2,0,2
Angers v Lorient,0,2.00,13,5,-14,5,-12,-16,9,17,-34,10,3,-3,3,-3,8,4,0,7,4,0,1,0,16,9,-7,13,-2,0,4,10,3,6,2
Angers v Lyon,2,1.60,1,-1,-184,3,-181,-107,-72,-40,-133,-6,-3,3,9,-9,1,0,0,3,1,0,0,0,-154,-185,-31,7,0,1,6,5,0,-1,-1
Angers v Marseille,2,2.30,-2,1,11,4,12,-2,1,-43,55,-10,2,-2,-2,2,-2,0,0,-3,-1,0,-1,0,-17,17,34,-1,0,0,7,10,5,3,-1
Angers v Monaco,0,2.20,12,7,-74,8,-71,-30,-32,-10,-53,-1,1,-1,0,0,6,2,0,3,5,0,0,0,-30,-65,-35,4,-1,0,-4,-3,3,1,2
Angers v Montpellier,2,1.30,-4,-3,-112,-12,-116,-51,-66,-43,-58,-16,-4,4,1,-1,-4,-2,-2,-1,-3,0,0,0,-90,-117,-27,-3,0,0,-1,-1,-1,0,-3
Angers v Nantes,1,3.30,4,1,23,-2,23,11,9,-2,7,14,-1,1,6,-6,2,1,0,-3,0,0,-1,0,26,19,-7,-7,-1,0,-3,1,6,4,0
Angers v Nice,1,5.30,-2,-2,-137,9,-140,-60,-63,-6,-91,-27,0,0,0,0,-2,0,0,6,1,0,0,0,-68,-156,-88,-6,-2,0,7,3,0,-4,1
Angers v PSG,1,1.20,1,-1,-229,3,-233,-115,-113,-29,-191,-11,-2,2,2,-2,-3,-2,0,-1,-1,0,-1,0,-151,-229,-78,1,-1,0,-2,-2,3,0,0
Angers v Reims,1,2.60,2,0,11,3,19,-11,19,0,9,-2,-3,3,5,-5,1,0,0,-5,1,0,3,0,15,30,15,9,0,0,-5,1,6,6,0
Angers v Rennes,2,2.90,4,3,-73,-10,-73,-14,-38,14,-20,-47,3,-3,5,-5,0,1,-1,9,3,0,-1,0,-26,-81,-55,-2,0,0,-7,-8,13,-1,-1
Angers v Saint-Etienne,1,0.70,-1,2,-78,6,-80,-48,-29,-12,-37,-31,4,-4,1,-1,-2,-1,0,3,0,0,1,0,-11,-84,-73,-2,0,0,-8,-5,5,3,0
Angers v SC Bastia,0,-0.40,5,2,57,-7,63,28,52,32,42,5,2,-2,4,-4,4,3,0,9,2,0,0,0,51,60,9,-3,-1,0,-11,-10,11,1,1
Angers v Toulouse,2,2.20,-2,-2,21,9,21,-1,11,-29,25,15,-3,3,2,-2,-1,-1,0,-9,-6,0,2,0,-25,9,34,-1,1,0,6,5,-4,-1,1
Angers v Troyes,0,0.50,2,-1,-42,-25,-30,-22,-16,-21,-6,-11,0,0,-4,4,2,2,0,4,2,0,2,0,-15,-31,-16,1,1,1,-4,-1,7,3,0
Bordeaux v Angers,2,-3.40,5,2,125,11,126,64,80,58,81,5,6,-6,0,0,2,2,0,17,3,0,0,0,111,142,31,4,0,-1,-11,-6,2,5,0
Bordeaux v Caen,2,-0.80,-3,-1,172,3,168,110,72,46,116,21,-3,3,1,-1,-3,-1,0,4,-2,0,2,0,122,163,41,-9,0,0,-5,-2,4,3,-1
Bordeaux v GFC Ajaccio,1,-3.70,5,3,11,-16,18,18,-3,33,2,-18,2,-2,3,-3,5,4,0,7,2,0,-1,0,24,21,-3,0,0,0,-9,-6,6,3,1
Bordeaux v Guingamp,0,-1.70,4,3,175,-9,183,105,78,45,101,40,1,-1,3,-3,5,1,0,10,1,0,1,0,137,182,45,-2,0,0,-9,-4,10,5,0
Bordeaux v Lille,0,-0.10,2,1,130,19,131,72,62,13,109,12,5,-5,-1,1,6,1,0,9,2,0,-1,0,40,126,86,2,0,0,10,6,-7,-4,0
Bordeaux v Lorient,0,-1.00,3,1,75,2,72,42,35,20,54,2,2,-2,0,0,1,2,2,1,1,0,-1,0,66,70,4,-1,0,0,2,-1,2,-3,2
Bordeaux v Lyon,0,-0.20,4,0,29,0,25,5,22,24,-13,17,0,0,2,-2,4,3,3,1,2,0,2,0,-20,38,58,4,1,0,4,2,-3,-2,3
Bordeaux v Marseille,1,-0.70,3,1,-70,4,-56,-54,-28,-22,-3,-58,-1,1,3,-3,0,0,0,-6,0,0,0,0,-6,-57,-51,3,-1,0,0,0,-1,0,0
Bordeaux v Monaco,0,1.60,3,0,14,-2,17,9,5,6,3,6,2,-2,0,0,3,3,0,5,2,0,-1,0,18,40,22,6,1,0,2,4,1,2,1
Bordeaux v Montpellier,1,-0.20,2,2,38,-9,49,22,23,14,10,23,0,0,-5,5,2,1,0,7,-1,0,-2,0,10,40,30,-1,1,0,6,5,-2,-1,0
Bordeaux v Nantes,0,-0.20,2,1,27,-4,48,10,20,29,51,-49,2,-2,9,-9,2,2,1,9,2,0,3,0,104,54,-50,-1,0,0,-19,-10,13,9,1
Bordeaux v Nice,1,-0.10,4,1,-74,2,-58,-49,-15,56,-71,-48,-2,2,-1,1,2,1,0,7,0,0,0,0,58,-40,-98,5,-1,0,-19,-10,13,9,0
Bordeaux v PSG,1,-0.90,1,2,-219,15,-208,-136,-89,-29,-126,-71,2,-2,-2,2,0,1,0,0,1,0,0,0,-61,-202,-141,9,0,0,-12,-7,9,5,0
Bordeaux v Reims,2,-1.40,-1,-1,2,-1,1,7,-6,-6,38,-31,0,0,-2,2,0,0,0,2,1,0,-1,0,19,-8,-27,-1,0,0,12,5,-9,-7,1
Bordeaux v Rennes,0,-2.60,6,1,21,-13,26,36,8,57,19,-33,1,-1,7,-7,2,1,1,11,2,0,0,0,102,18,-84,1,0,0,-5,-1,2,4,1
Bordeaux v Saint-Etienne,2,-2.90,-7,-3,42,3,42,30,16,3,41,1,-3,3,5,-5,-5,-3,0,-1,-3,0,0,0,30,46,16,4,1,0,-7,-6,-1,1,-1
Bordeaux v SC Bastia,1,-4.60,0,0,-55,8,-57,-47,-14,-21,-59,17,0,0,4,-4,0,2,0,-5,0,0,0,0,-34,-40,-6,0,1,0,-2,-3,3,-1,0
Bordeaux v Toulouse,1,1.20,2,2,73,5,71,45,22,6,44,17,0,0,-10,10,3,4,0,-1,0,0,0,0,41,80,39,-7,0,0,-1,0,3,1,-1
Bordeaux v Troyes,0,-1.90,2,-1,42,-18,40,27,28,15,38,2,1,-1,4,-4,2,3,0,6,5,0,1,0,28,40,12,-7,-2,0,6,3,-2,-3,0
Caen v Angers,1,-0.70,3,2,-77,7,-71,-42,-43,6,-46,-43,1,-1,-4,4,1,1,0,4,0,0,-1,0,-15,-72,-57,3,1,1,7,6,-7,-1,0
Caen v Bordeaux,0,3.10,0,0,-148,5,-160,-74,-86,-41,-111,-15,-2,2,-3,3,0,-2,0,-7,-1,0,-2,0,-126,-173,-47,-5,-2,0,10,5,-6,-5,1
Caen v GFC Ajaccio,0,-1.50,6,4,-39,-33,-21,3,-28,29,-18,-36,1,-1,1,-1,8,5,1,12,5,0,1,0,27,-29,-56,3,-1,0,-5,-2,1,3,1
Caen v Guingamp,0,0.00,-1,-2,-107,-15,-96,-41,-61,-22,-51,-31,2,-2,2,-2,-1,-1,0,6,-2,0,2,0,-36,-93,-57,2,0,0,1,1,-7,0,0
Caen v Lille,2,1.40,1,0,-43,4,-43,-14,-13,32,-34,-28,5,-5,-2,2,-4,-3,-1,14,0,0,0,0,23,-42,-65,3,1,0,7,5,-8,-2,-1
Caen v Lorient,2,1.40,2,1,34,-10,31,41,22,102,-27,-14,1,-1,-1,1,-1,1,0,22,5,0,0,0,131,48,-83,-6,0,0,1,5,-1,4,-1
Caen v Lyon,2,-0.30,-1,3,-105,-3,-97,-49,-53,-13,-58,-30,1,-1,4,-4,-3,0,0,3,-3,0,2,0,-15,-97,-82,6,0,0,-10,-4,8,6,-2
Caen v Marseille,2,1.40,1,1,-119,-8,-119,-57,-75,-23,-81,-28,-1,1,-6,6,1,0,-1,-3,-1,0,2,0,-17,-119,-102,4,2,0,2,2,3,0,-1
Caen v Monaco,1,1.60,-1,-1,-49,12,-60,-34,-29,-31,-36,3,1,-1,-1,1,-1,-3,0,-6,-3,0,-1,0,-30,-57,-27,-1,0,0,-1,2,-3,3,0
Caen v Montpellier,0,0.30,2,0,-112,-1,-115,-43,-70,12,-122,-5,-4,4,5,-5,2,1,1,-2,-3,0,0,0,-46,-129,-83,-6,0,0,9,6,-4,-3,0
Caen v Nantes,2,2.40,1,3,-44,3,-49,-20,-24,17,-31,-32,-4,4,5,-5,-3,-1,0,-1,-2,0,0,0,-19,-62,-43,-8,1,0,5,5,5,0,-1
Caen v Nice,0,2.40,-1,-2,-222,8,-222,-131,-97,-48,-147,-37,-1,1,0,0,0,1,1,-7,-3,0,1,0,-148,-220,-72,6,-1,0,0,-4,-4,-4,2
Caen v PSG,2,0.30,-10,-6,-306,-2,-298,-175,-136,-46,-221,-46,-4,4,1,-1,-5,-4,0,-10,-3,0,5,0,-132,-305,-173,4,1,0,2,0,1,-2,-2
Caen v Reims,2,-2.10,0,3,-24,8,-34,-6,-15,8,-17,-11,2,-2,-1,1,-2,-2,-1,5,-1,0,0,0,-16,-41,-25,-8,1,0,11,9,-4,-2,-1
Caen v Rennes,0,1.10,-1,1,-179,16,-172,-109,-70,-12,-105,-64,1,-1,-1,1,0,-1,0,3,-1,0,1,0,-51,-185,-134,-4,-1,0,7,4,-3,-3,0
Caen v Saint-Etienne,0,-0.40,5,2,-58,-15,-61,-23,-48,-56,-11,-6,1,-1,1,-1,4,0,0,-7,1,0,-2,0,-77,-66,11,1,-1,0,-5,-5,-1,0,0
Caen v SC Bastia,1,-0.20,2,1,38,3,41,29,13,23,31,-12,-2,2,2,-2,2,1,0,-3,-2,0,3,0,31,31,0,4,-1,0,-4,-2,8,2,0
Caen v Toulouse,0,1.70,-3,-5,-78,-1,-76,-41,-37,-21,-15,-42,1,-1,3,-3,-2,-2,0,6,-2,0,-1,0,-25,-80,-55,-7,1,0,-2,-4,1,-2,0
Caen v Troyes,0,-0.60,9,2,67,-7,64,51,23,78,17,-18,2,-2,0,0,8,2,0,9,3,0,-1,0,142,77,-65,-13,-1,0,-24,-13,16,11,0
GFC Ajaccio v Angers,2,-1.10,0,0,181,21,170,87,104,56,100,37,3,-3,0,0,2,2,-1,10,3,0,0,0,95,176,81,-2,0,0,2,-1,-4,-3,-2
GFC Ajaccio v Bordeaux,0,2.50,3,1,108,7,93,57,51,64,25,19,1,-1,-6,6,3,0,0,4,1,0,-1,0,92,98,6,-4,0,0,0,1,1,1,1
GFC Ajaccio v Caen,0,0.40,1,3,91,10,88,26,51,29,52,-3,0,0,-4,4,0,-2,0,-7,-3,0,-2,0,77,94,17,-1,0,0,5,3,-9,-2,0
GFC Ajaccio v Guingamp,1,0.10,6,1,155,1,144,97,74,79,76,17,1,-1,-3,3,5,1,0,12,2,0,0,0,142,139,-3,-3,1,-1,6,5,0,-1,0
GFC Ajaccio v Lille,2,2.20,1,3,-76,5,-68,-62,-23,12,-37,-57,-3,3,-2,2,-2,0,0,-1,2,0,1,0,-3,-74,-71,9,1,0,9,2,-11,-7,0
GFC Ajaccio v Lorient,1,2.20,8,1,-33,6,-45,-22,-9,36,-46,-21,2,-2,-1,1,8,3,0,11,5,0,-3,0,10,-26,-36,-1,1,0,14,13,-11,-1,0
GFC Ajaccio v Lyon,0,2.20,3,1,-3,6,5,-25,15,-1,-17,7,3,-3,-7,7,1,-1,0,1,0,0,0,0,-16,5,21,5,1,0,2,2,-1,0,1
GFC Ajaccio v Marseille,1,1.80,3,0,-48,1,-47,-19,-23,13,-43,-12,0,0,-11,11,2,1,0,7,2,0,-2,0,-29,-58,-29,-3,0,0,3,3,-5,0,0
GFC Ajaccio v Monaco,2,4.30,5,1,15,11,11,9,15,25,-4,2,-1,1,-3,3,4,1,0,5,4,0,1,0,36,16,-20,-2,1,0,-1,-3,-3,-2,-1
GFC Ajaccio v Montpellier,2,0.90,-1,-1,93,1,91,48,37,13,32,43,-2,2,-4,4,0,-1,-1,-1,-2,0,-1,0,11,91,80,2,0,0,2,2,-4,0,-2
GFC Ajaccio v Nantes,1,3.60,4,0,-27,10,-24,-16,-4,23,-3,-40,-1,1,2,-2,3,2,0,4,4,0,0,0,35,-26,-61,2,2,0,0,-2,-1,-2,0
GFC Ajaccio v Nice,0,5.60,8,1,-32,11,-34,-17,-9,30,-48,-9,2,-2,-4,4,3,2,1,5,3,0,1,0,24,-27,-51,2,1,0,-3,-2,0,1,4
GFC Ajaccio v PSG,2,1.90,0,1,-316,-5,-327,-190,-128,-30,-260,-30,1,-1,0,0,-1,-1,-1,-3,1,0,-2,0,-136,-323,-187,6,0,0,2,0,-3,-2,-1
GFC Ajaccio v Reims,1,0.60,3,1,72,2,69,36,48,20,52,13,2,-2,-1,1,1,0,-1,10,1,0,-1,0,39,62,23,-3,0,0,4,3,-6,-1,-1
GFC Ajaccio v Rennes,1,2.50,-1,-2,21,-5,24,11,17,9,12,8,2,-2,6,-6,0,0,0,6,4,0,1,0,26,46,20,5,-1,0,1,2,-1,1,1
GFC Ajaccio v Saint-Etienne,2,2.10,6,6,25,-5,26,16,17,32,-11,12,4,-4,3,-3,2,1,-1,6,0,0,-2,0,21,19,-2,4,1,0,7,2,-11,-5,-1
GFC Ajaccio v SC Bastia,0,0.20,-3,-3,8,-2,1,-4,22,41,1,-22,0,0,-7,7,2,3,2,4,2,0,1,0,33,-9,-42,-6,1,0,10,5,-10,-5,1
GFC Ajaccio v Toulouse,1,4.50,-5,-6,7,23,1,-1,11,-1,-10,17,-2,2,-3,3,-1,-1,1,0,2,0,-1,0,10,12,2,1,2,0,5,5,1,0,1
GFC Ajaccio v Troyes,2,2.70,2,4,39,-2,36,27,28,67,-12,1,2,-2,-4,4,1,2,-1,13,4,0,-3,0,101,38,-63,0,0,0,-8,-9,2,-1,-2
Guingamp v Angers,1,-0.10,2,3,68,1,72,17,45,-17,30,52,3,-3,5,-5,2,4,1,0,2,0,1,0,12,74,62,-4,0,-1,-5,-5,4,0,0
Guingamp v Bordeaux,2,4.10,-2,-3,-67,1,-65,-37,-32,-18,-33,-18,-2,2,2,-2,-2,-2,0,0,-3,0,0,0,-34,-78,-44,1,0,0,5,0,-6,-5,-1
Guingamp v Caen,1,0.70,1,2,64,3,58,40,26,32,45,-7,3,-3,1,-1,2,1,-1,3,2,0,-2,0,43,57,14,2,1,0,-4,-2,1,2,-1
Guingamp v GFC Ajaccio,0,-0.40,1,-3,113,-2,110,80,49,48,50,30,2,-2,6,-6,-3,0,0,8,0,0,1,0,71,114,43,-6,-2,0,-4,-2,2,2,0
Guingamp v Lille,1,2.40,0,-2,-139,-6,-128,-79,-48,6,-107,-28,-1,1,4,-4,-2,-1,1,6,1,0,0,0,-46,-132,-86,-3,-1,0,-1,-3,3,-2,0
Guingamp v Lorient,1,1.70,-1,-4,-127,-6,-132,-84,-45,-2,-119,-9,2,-2,4,-4,-1,-1,1,-2,0,0,0,0,-69,-126,-57,2,2,0,4,1,-3,-3,1
Guingamp v Lyon,2,1.90,-1,-1,-137,-16,-136,-56,-58,20,-116,-19,8,-8,-4,4,0,2,0,17,4,0,-1,0,-41,-137,-96,7,2,0,-1,0,1,1,0
Guingamp v Marseille,0,3.00,-1,-1,-117,2,-121,-79,-44,0,-57,-66,0,0,-1,1,0,1,0,-3,1,0,-2,0,-24,-129,-105,-1,-1,0,4,3,1,-1,0
Guingamp v Monaco,1,3.70,2,1,-33,0,-36,-11,-11,21,-24,-17,3,-3,-3,3,1,1,-1,5,2,0,0,0,14,-40,-54,-7,0,0,0,-2,-2,-2,-1
Guingamp v Montpellier,1,1.70,-4,-4,-93,5,-96,-50,-43,-21,-58,-13,-1,1,-1,1,-4,0,0,1,1,0,4,0,-67,-84,-17,7,-1,0,-1,-3,-1,-2,0
Guingamp v Nantes,1,2.30,-1,0,-37,16,-39,-23,-9,18,-39,-11,1,-1,1,-1,0,0,1,1,-3,0,-2,0,6,-48,-54,-7,1,0,-3,-2,5,1,2
Guingamp v Nice,2,4.20,-3,-1,-301,-1,-304,-167,-129,-18,-211,-67,0,0,1,-1,-2,-2,1,-3,-1,0,0,0,-136,-307,-171,1,-1,0,-5,-4,3,1,-1
Guingamp v PSG,2,5.40,-5,-2,-147,6,-155,-83,-61,-10,-117,-19,0,0,-5,5,-3,1,0,1,2,0,0,0,-90,-159,-69,-1,1,0,2,-1,-3,-3,0
Guingamp v Reims,2,0.60,3,2,43,0,41,40,12,35,14,6,3,-3,6,-6,0,0,0,17,3,0,0,0,50,53,3,4,-3,0,0,3,2,3,0
Guingamp v Rennes,2,2.50,-1,0,-65,-1,-53,-42,-16,21,-66,-10,-1,1,-3,3,-1,4,0,6,2,0,0,0,17,-48,-65,9,1,0,-6,-6,5,0,0
Guingamp v Saint-Etienne,0,1.60,0,-2,-122,6,-117,-74,-47,-8,-101,-15,-1,1,4,-4,0,4,2,0,3,0,-1,0,-56,-106,-50,4,-2,0,-1,3,3,4,2
Guingamp v SC Bastia,0,0.00,1,-1,54,-3,49,39,25,19,27,22,4,-4,3,-3,-1,0,0,12,3,0,0,0,25,50,25,-7,0,0,-4,-2,2,2,0
Guingamp v Toulouse,0,3.20,-2,-1,-34,9,-23,-7,-19,-13,-7,-6,-4,4,5,-5,-2,0,0,5,1,0,0,0,-16,-24,-8,5,-1,0,-2,-2,3,0,0
Guingamp v Troyes,0,0.60,-4,-3,33,-5,34,14,28,-1,26,16,-1,1,1,-1,-4,0,1,0,0,0,0,0,-24,23,47,0,-2,0,-3,-5,-2,-2,1
Lille v Angers,1,0.10,0,0,162,-17,181,87,85,63,113,-3,-2,2,2,-2,2,3,0,6,1,0,-1,0,137,184,47,7,0,0,-9,-6,5,3,0
Lille v Bordeaux,1,3.00,-1,-2,51,-3,47,23,29,0,23,27,-1,1,4,-4,3,2,0,-1,1,0,-2,0,6,48,42,2,-2,0,-5,-7,-1,-2,0
Lille v Caen,0,1.20,-1,0,161,-7,165,87,65,52,79,24,-1,1,-4,4,0,-1,0,0,-1,0,-2,0,102,162,60,1,0,0,0,-2,-1,-2,0
Lille v GFC Ajaccio,0,-0.80,5,1,54,0,53,37,31,38,43,-14,5,-5,5,-5,4,4,1,8,5,0,2,0,88,51,-37,2,-2,0,-6,-5,1,1,1
Lille v Guingamp,1,0.40,8,2,106,-13,115,76,37,7,70,37,2,-2,3,-3,7,4,0,5,3,0,1,0,84,118,34,-5,-1,0,-1,-3,-2,-2,0
Lille v Lorient,0,0.60,4,1,75,7,78,43,46,50,25,16,0,0,-4,4,5,3,1,4,1,0,0,0,69,77,8,-1,1,0,-3,-3,6,0,1
Lille v Lyon,0,0.90,2,2,-8,6,-7,-16,5,-1,-12,4,2,-2,-2,2,0,0,0,0,2,0,0,0,-10,-6,4,-3,0,0,-13,-7,6,6,1
Lille v Marseille,2,-1.10,-2,-1,23,-5,15,3,10,6,-9,15,-1,1,4,-4,-3,-3,0,-8,-2,0,0,0,-3,10,13,-9,1,0,0,3,-2,3,-1
Lille v Monaco,0,2.40,0,-1,99,14,82,41,59,24,60,15,-1,1,2,-2,2,1,1,-3,0,0,0,0,49,87,38,0,-1,0,5,6,0,1,1
Lille v Montpellier,0,-0.90,9,4,93,5,85,46,54,59,4,38,3,-3,-1,1,3,2,0,6,1,0,0,0,72,100,28,2,0,0,4,7,4,3,1
Lille v Nantes,2,0.30,7,7,101,-5,103,75,49,50,66,10,8,-8,5,-5,3,2,0,14,4,0,1,0,131,96,-35,-5,-1,0,-13,-7,7,6,-1
Lille v Nice,1,3.60,3,1,-128,4,-129,-71,-62,-4,-94,-35,-1,1,-2,2,1,3,0,0,0,0,-1,0,-37,-127,-90,0,0,0,6,7,-1,1,0
Lille v PSG,2,0.00,1,2,-32,4,-34,-14,-20,14,-33,-15,-2,2,5,-5,-1,0,0,1,-1,0,-2,0,40,-34,-74,0,-1,0,-6,-2,10,4,0
Lille v Reims,0,-0.40,-4,-2,45,-7,38,32,8,21,12,7,-3,3,-3,3,0,-1,0,-7,-1,0,0,0,35,39,4,-6,0,0,-11,-8,5,3,0
Lille v Rennes,1,1.90,6,5,23,-11,43,12,20,67,-18,-17,2,-2,-3,3,4,3,1,15,5,0,0,0,102,38,-64,10,-2,0,2,4,-2,2,1
Lille v Saint-Etienne,0,-1.70,2,3,26,-2,35,7,31,35,0,3,3,-3,2,-2,4,2,0,9,3,0,1,0,24,22,-2,3,1,0,-2,0,3,2,0
Lille v SC Bastia,1,-2.30,2,0,87,-17,101,64,36,47,66,-12,1,-1,2,-2,1,1,0,8,2,0,1,0,91,99,8,1,-1,0,-19,-14,7,5,0
Lille v Toulouse,0,2.30,3,0,84,-1,96,34,47,-10,65,28,0,0,1,-1,0,-2,0,-4,-2,0,0,0,24,86,62,1,2,0,-12,-10,4,2,1
Lille v Troyes,2,0.80,4,2,35,-7,42,13,39,28,1,21,4,-4,-4,4,3,3,0,13,4,0,1,0,30,44,14,5,1,0,-8,-2,2,6,1
Lorient v Angers,0,-2.40,-1,0,28,1,42,31,12,2,54,-12,2,-2,2,-2,1,4,0,9,5,0,0,0,47,42,-5,6,0,0,-5,-7,3,-2,-1
Lorient v Bordeaux,0,1.00,-4,-1,7,-1,8,0,10,15,11,-14,-1,1,2,-2,-2,-2,-1,0,-1,0,-1,0,12,8,-4,0,0,0,-12,-12,4,0,-1
Lorient v Caen,0,-0.90,-4,-3,75,5,63,33,33,-9,44,30,-2,2,2,-2,-3,-2,1,-2,0,0,-1,0,26,82,56,1,1,0,6,5,0,-1,2
Lorient v GFC Ajaccio,0,-3.60,0,-2,91,-7,93,38,40,-23,53,49,-1,1,1,-1,0,0,1,-7,-3,0,0,0,-23,100,123,-8,1,0,-13,-9,7,4,1
Lorient v Guingamp,0,-1.60,10,-1,85,-2,84,63,32,34,62,-1,2,-2,-1,1,8,2,0,5,3,0,-2,0,98,86,-12,-2,1,0,-10,-7,4,3,-1
Lorient v Lille,2,-1.00,-1,-3,10,6,11,0,3,7,13,-15,-3,3,-1,1,0,-2,0,-2,-5,0,-1,0,21,5,-16,-6,0,0,-5,1,8,6,0
Lorient v Lyon,2,0.10,-4,-2,-103,8,-102,-52,-56,-18,-95,6,2,-2,2,-2,-4,0,1,3,-1,0,0,0,-80,-99,-19,4,0,0,6,7,0,1,0
Lorient v Marseille,1,0.30,4,5,-144,1,-145,-88,-61,-13,-102,-35,2,-2,-3,3,4,3,1,0,2,0,1,0,-61,-141,-80,5,0,0,4,2,-5,-2,1
Lorient v Monaco,2,1.60,5,3,17,0,14,9,13,0,31,-8,0,0,-2,2,4,2,0,4,2,0,-2,0,50,14,-36,-2,2,0,2,0,0,-2,0
