_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Bayern v Bochum,0,0.20,6,1,211,32,217,121,109,55,151,28,1,-1,3,-3,0,0,0,15,8,0,3,0,139,217,78,-2,1,0,1,-1,1,-2,2
Bayern v Borussia Dortmund,0,3.20,-2,-3,155,15,154,83,85,23,108,36,5,-5,5,-5,0,0,0,15,2,0,0,0,106,184,78,3,0,0,-15,3,21,18,0
Bayern v Mönchengladb.,0,0.20,-5,-5,27,9,29,30,2,26,14,-5,-2,2,2,-2,0,0,0,7,1,0,2,0,36,10,-26,1,0,0,8,1,-10,-7,0
Bayern v Eintracht Frankfurt,0,0.90,5,2,128,-1,138,82,64,51,74,23,1,-1,4,-4,0,0,0,12,3,0,2,0,113,127,14,-2,0,0,-3,-1,2,2,0
Bayern v FC Cologne,1,0.20,1,3,188,15,184,114,89,76,122,6,7,-7,6,-6,0,0,0,18,5,0,2,0,148,170,22,-14,1,0,-5,-6,1,-1,0
Bayern v Freiburg,0,1.60,-1,-2,181,26,166,101,77,-34,136,76,2,-2,0,0,0,0,0,-3,-1,0,-1,0,0,177,177,3,1,0,-9,-12,3,-3,-1
Bayern v Hamburg,0,0.50,3,4,-3,4,-6,2,-5,-7,4,1,1,-1,7,-7,0,0,0,4,3,0,1,0,0,-13,-13,-5,0,0,9,4,-5,-5,0
Bayern v Hannover,0,-0.20,12,6,121,11,129,74,64,36,98,3,5,-5,-4,4,0,0,0,11,6,0,1,0,116,117,1,-10,-1,0,-1,0,2,1,3
Bayern v Hertha Berlin,0,1.50,6,3,136,22,124,77,58,47,73,25,3,-3,-1,1,0,0,0,8,4,0,1,0,93,127,34,-2,0,0,-3,0,2,3,3
Bayern v Hoffenheim,0,3.80,-2,-1,48,-5,48,44,22,21,20,26,6,-6,5,-5,0,0,0,18,-2,0,2,0,17,42,25,-2,-1,0,11,9,-7,-2,1
Bayern v Leverkusen,1,1.50,-2,-1,-11,9,-5,6,-9,-18,5,10,1,-1,1,-1,0,0,0,4,0,0,2,0,-17,-16,1,3,0,0,-4,-9,-4,-5,0
Bayern v Mainz,0,1.70,16,10,182,35,191,109,94,100,94,21,5,-5,2,-2,0,0,0,31,8,0,-1,0,201,190,-11,0,0,0,-14,-9,5,5,0
Bayern v Nuernberg,0,4.00,8,3,118,-7,126,80,53,71,79,-19,3,-3,-1,1,0,0,0,7,4,0,1,0,148,118,-30,-8,0,0,-4,-3,-1,1,0
Bayern v Schalke,1,2.00,2,2,104,-12,99,52,58,7,77,21,1,-1,2,-2,0,0,0,-1,-1,0,1,0,43,100,57,-2,-2,0,6,4,-5,-2,0
Bayern v Stuttgart,2,0.90,-1,0,38,23,28,1,31,19,13,11,2,-2,6,-6,0,0,0,7,2,0,2,0,24,24,0,-3,-1,0,-4,-2,3,2,0
Bayern v Werder Bremen,1,1.10,-1,0,153,25,160,91,71,23,117,21,1,-1,-4,4,0,0,0,9,0,0,6,0,108,158,50,-2,1,0,5,3,-4,-2,-1
Bayern v Wolfsburg,0,0.40,1,0,173,17,171,96,92,33,106,43,3,-3,-1,1,0,0,0,14,0,0,1,0,88,166,78,-1,0,0,13,7,-7,-6,1
Bochum v Bayern,2,0.40,-6,-4,-200,-4,-198,-121,-89,-54,-127,-29,-3,3,-2,2,0,0,0,-5,-4,0,-2,0,-151,-198,-47,11,1,0,-2,-2,0,0,-1
Bochum v Borussia Dortmund,2,3.20,0,0,-145,2,-143,-93,-38,3,-114,-22,0,0,4,-4,0,0,0,0,-2,0,-3,0,-80,-169,-89,-14,-1,1,5,5,-4,0,-2
Bochum v Mönchengladb.,1,2.50,0,0,20,4,16,1,11,-19,9,20,2,-2,7,-7,0,0,0,-5,-2,0,0,0,-14,23,37,8,0,0,10,5,-7,-5,-3
Bochum v Eintracht Frankfurt,2,1.80,-9,-3,-217,6,-228,-127,-95,-34,-144,-48,-2,2,-6,6,0,0,0,-9,-2,0,-1,0,-141,-260,-119,-12,1,0,8,0,-12,-8,0
Bochum v FC Cologne,1,0.90,-5,-2,-136,-8,-144,-75,-69,-42,-89,-17,1,-1,-3,3,0,0,0,-6,1,0,-1,0,-81,-136,-55,1,1,0,2,3,-2,1,0
Bochum v Freiburg,2,0.20,-3,0,-28,-16,-30,-7,-12,-2,-14,-5,3,-3,6,-6,0,0,0,3,0,0,-1,0,-30,-37,-7,-3,-1,0,-4,-1,5,3,-1
Bochum v Hamburg,2,0.00,0,0,-10,13,-10,14,-11,23,-15,-9,0,0,-6,6,0,0,0,2,0,0,0,0,2,-25,-27,-3,-1,0,1,-1,-2,-2,0
Bochum v Hannover,2,-0.10,0,2,22,6,21,29,11,32,-5,11,3,-3,2,-2,0,0,0,11,0,0,0,0,15,18,3,-3,0,0,3,4,-3,1,-3
Bochum v Hertha Berlin,0,3.20,3,2,37,18,37,37,27,62,-2,5,5,-5,9,-9,0,0,0,16,5,0,1,0,56,44,-12,2,1,0,-4,-3,6,1,0
Bochum v Hoffenheim,0,2.80,3,0,-146,-5,-140,-86,-72,-92,-59,-8,-3,3,-1,1,0,0,0,-14,-2,0,0,0,-151,-150,1,-2,-1,0,3,2,-4,-1,1
Bochum v Leverkusen,1,2.90,-3,-4,-73,-8,-79,-51,-32,-41,-66,23,0,0,-1,1,0,0,0,-2,1,0,1,0,-100,-76,24,0,1,0,5,1,-3,-4,-1
Bochum v Mainz,2,1.30,6,5,-25,8,-24,-21,3,43,-37,-22,4,-4,1,-1,0,0,0,7,0,0,4,0,42,-43,-85,0,-2,0,-4,-4,2,0,1
Bochum v Nuernberg,1,2.20,4,5,-90,-11,-90,-51,-29,-9,-41,-33,0,0,4,-4,0,0,0,4,-1,0,0,0,-32,-99,-67,-1,-1,0,16,9,-9,-7,0
Bochum v Schalke,1,2.20,-6,-4,-80,-19,-77,-35,-44,-36,-31,-13,-2,2,0,0,0,0,0,-7,-4,0,0,0,-58,-92,-34,-5,0,0,12,6,-10,-6,-2
Bochum v Stuttgart,2,1.20,1,1,-68,-10,-74,-26,-33,19,-49,-28,2,-2,4,-4,0,0,0,9,4,0,0,0,-9,-94,-85,-12,1,0,10,5,-9,-5,-2
Bochum v Werder Bremen,2,2.20,-2,-3,-100,11,-97,-82,-30,8,-74,-47,-1,1,-5,5,0,0,0,-3,-2,0,1,0,-23,-96,-73,7,0,0,4,3,0,-1,-1
Bochum v Wolfsburg,1,0.60,-4,-5,-93,0,-95,-45,-47,-25,-36,-32,0,0,-3,3,0,0,0,0,-2,0,1,0,-27,-91,-64,5,1,0,8,7,-4,-1,0
Borussia Dortmund v Bayern,2,-0.60,0,-1,-58,-8,-56,-40,-17,48,-92,-14,0,0,3,-3,0,0,0,-1,4,0,-3,0,3,-57,-60,-1,0,0,4,3,-4,-1,0
Borussia Dortmund v Bochum,0,-3.10,3,1,53,2,49,28,38,20,61,-17,3,-3,3,-3,0,0,0,5,5,0,-2,0,42,53,11,1,0,0,0,2,3,2,1
Borussia Dortmund v Mönchengladb.,0,-0.50,9,4,73,9,77,30,36,26,69,-30,0,0,-2,2,0,0,0,-3,4,0,-4,0,77,84,7,12,0,0,13,4,-12,-9,1
Borussia Dortmund v Eintracht Frankfurt,2,-2.30,-1,0,66,10,71,42,25,31,46,-9,0,0,4,-4,0,0,0,3,-1,0,0,0,71,76,5,11,-1,0,3,1,-4,-2,0
