_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arsenal v Aston Villa,0,-2.900000000000002,5,4,149,-3,141,103,58,58,60,44,6,-6,4,-4,0,0,0,9,1,0,-2,0,115,131,16,-13,0,0,-15,-13,5,2,0
Arsenal v Birmingham,0,-4.0000000000000036,11,7,158,-7,174,105,67,49,83,39,3,-3,9,-9,0,0,0,16,2,0,0,0,153,175,22,-1,0,0,-9,-4,8,5,1
Arsenal v Blackburn,0,-2.299999999999997,5,3,129,-10,139,84,55,61,66,13,5,-5,3,-3,0,0,0,12,3,0,-1,0,139,146,7,-1,0,0,-2,1,4,3,1
Arsenal v Bolton,0,-3.200000000000003,5,3,141,-19,158,90,64,62,81,11,0,0,-1,1,0,0,0,8,3,0,0,0,115,154,39,1,0,0,-2,-2,0,0,-1
Arsenal v Burnley,0,-3.400000000000002,2,-1,127,-8,130,98,36,34,50,52,2,-2,-1,1,0,0,0,5,-1,0,2,0,65,143,78,-6,-1,0,-8,1,9,9,1
Arsenal v Chelsea,2,-4.0,3,4,58,-8,59,41,18,48,28,-16,1,-1,-1,1,0,0,0,6,-1,0,0,0,88,55,-33,0,0,0,6,5,-4,-1,0
Arsenal v Everton,1,-1.6000000000000014,-3,0,183,2,184,108,67,-10,132,55,-2,2,2,-2,0,0,0,-5,-4,0,0,0,101,181,80,-12,0,0,-16,-11,9,5,-2
Arsenal v Fulham,0,-4.5,7,5,84,1,93,85,20,69,47,-10,3,-3,-1,1,0,0,0,11,0,0,2,0,118,85,-33,-1,0,0,-17,-11,17,6,1
Arsenal v Hull,0,-5.0,8,4,148,-7,157,86,63,39,72,39,5,-5,3,-3,0,0,0,8,2,0,-3,0,106,155,49,-3,-3,0,-4,-4,-2,0,1
Arsenal v Liverpool,0,-0.30000000000000426,3,1,44,2,49,30,5,-19,19,36,0,0,0,0,0,0,0,0,1,0,0,0,0,48,48,-7,0,0,-7,-5,0,2,0
