_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Ajaccio v Bordeaux,0,1.3000000000000007,-4,-3,-44,-1,-48,-42,-17,-30,-32,3,-4,4,-5,5,-3,-4,0,-16,-4,0,-3,0,-63,-61,2,-7,1,0,2,-2,-4,-4,1
AC Ajaccio v Brest,0,1.5,2,2,115,-4,126,79,51,14,76,43,2,-2,0,0,0,0,0,9,1,0,2,0,39,120,81,-6,0,0,-1,-1,-3,0,0
AC Ajaccio v Evian,0,-0.40000000000000213,4,0,26,-15,32,12,13,-33,43,15,0,0,0,0,5,1,1,1,2,0,0,0,-8,41,49,0,1,0,4,4,-4,0,2
AC Ajaccio v Lille,2,-0.1999999999999993,4,2,0,4,-6,-13,10,-8,-7,12,2,-2,0,0,1,1,0,-3,-2,0,-1,0,-13,-16,-3,-3,-1,0,6,6,-3,0,1
AC Ajaccio v Lorient,0,1.4000000000000021,1,4,2,9,3,-7,-2,-49,22,16,-5,5,-4,4,0,-1,0,-12,-4,0,-1,0,-44,-5,39,5,0,0,2,1,0,-1,0
AC Ajaccio v Lyon,0,3.0,-6,-1,-103,5,-109,-66,-39,-34,-66,-5,0,0,-4,4,-4,-3,0,-4,0,0,1,0,-80,-112,-32,6,1,0,5,2,-3,-3,0
AC Ajaccio v Marseille,2,2.1999999999999993,1,1,-24,-4,-14,-20,-4,-22,-12,11,1,-1,2,-2,2,1,0,2,0,0,8,0,-26,-24,2,-1,0,0,4,3,-3,-1,0
AC Ajaccio v Montpellier,0,2.1999999999999993,4,2,44,-1,27,36,21,44,5,8,3,-3,-2,2,3,3,0,8,1,0,1,0,54,14,-40,-2,1,0,3,5,0,2,0
AC Ajaccio v Nancy,1,3.8000000000000043,6,3,-122,-23,-112,-68,-40,-5,-69,-36,3,-3,-7,7,4,1,0,4,2,0,-1,0,-37,-115,-78,0,0,0,1,0,0,-1,0
AC Ajaccio v Nice,2,2.6999999999999993,2,3,-17,3,-16,-16,-11,8,-27,-7,2,-2,3,-3,2,1,0,4,-1,0,1,0,20,-6,-26,5,1,0,2,2,-2,0,0
AC Ajaccio v PSG,1,1.1999999999999993,3,0,9,6,21,17,6,18,-32,36,3,-3,-2,2,0,1,0,10,5,0,1,0,28,40,12,3,1,0,-5,-4,4,1,0
AC Ajaccio v Reims,0,1.2999999999999972,-2,-4,-18,-1,-17,-14,-11,-65,23,17,-3,3,-6,6,-1,0,0,-9,1,0,0,0,-71,-19,52,5,2,0,-1,-2,-2,-1,1
AC Ajaccio v Rennes,2,4.0,-2,-2,-11,-9,2,-9,-4,-57,13,31,1,-1,-4,4,0,1,1,-3,1,0,2,0,-81,-13,68,-8,0,0,2,1,-1,-1,0
AC Ajaccio v Saint-Etienne,1,1.3999999999999986,4,3,-124,-3,-132,-81,-33,15,-73,-56,3,-3,1,-1,5,3,0,5,2,0,-3,0,-14,-139,-125,-6,0,0,-3,-3,-1,0,0
AC Ajaccio v SC Bastia,1,-0.09999999999999432,1,2,140,-10,145,96,51,32,113,3,1,-1,0,0,4,5,0,5,0,0,1,0,89,127,38,-11,0,0,2,1,-1,-1,0
AC Ajaccio v Sochaux,2,3.0000000000000036,0,-2,49,-4,41,38,21,46,25,-12,1,-1,-4,4,-1,-2,0,4,0,0,1,0,55,40,-15,1,0,0,5,1,-3,-4,1
AC Ajaccio v Toulouse,2,3.8000000000000007,-4,0,-87,-6,-89,-57,-35,-35,-42,-16,-2,2,-2,2,-5,-3,-2,-9,-2,0,1,0,-83,-102,-19,0,0,0,-2,-7,-4,-5,-2
AC Ajaccio v Troyes,2,0.8000000000000007,0,-1,55,-3,65,47,17,12,23,25,-2,2,0,0,-3,-4,-1,3,-5,0,1,0,21,55,34,4,0,0,-11,-7,6,4,-1
