_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Bayern v Borussia Dortmund,2,2.0,-4,0,109,12,105,63,56,35,45,43,5,-5,3,-3,0,-1,-1,10,4,0,1,0,42,95,53,-13,-2,0,-12,-6,7,6,-1
Bayern v Mönchengladb.,0,-0.6999999999999957,3,0,95,18,107,50,45,14,54,29,1,-1,0,0,2,0,0,4,1,0,1,0,64,116,52,8,1,0,-9,-6,7,3,0
Bayern v Eintracht Frankfurt,0,1.4000000000000021,8,4,200,14,191,105,111,86,102,32,7,-7,3,-3,4,4,1,10,4,0,3,0,155,190,35,-14,1,0,-9,-5,10,4,0
Bayern v FC Cologne,1,1.9000000000000021,6,3,239,26,246,148,110,102,125,34,4,-4,3,-3,5,5,0,17,1,0,1,0,173,235,62,-1,0,0,-8,-6,6,2,0
Bayern v Freiburg,0,1.6000000000000014,3,1,111,23,115,59,53,18,96,0,1,-1,3,-3,1,1,1,4,-1,0,-1,0,96,113,17,2,0,0,-3,-3,9,0,1
Bayern v Hamburg,0,-0.29999999999999716,1,0,148,3,148,104,66,38,109,24,1,-1,1,-1,-2,0,0,11,1,0,0,0,70,143,73,-6,0,0,-6,-5,1,1,1
Bayern v Hannover,0,0.10000000000000142,4,0,10,16,22,-12,3,-32,-2,29,-1,1,5,-5,3,4,1,-6,3,0,0,0,9,34,25,1,0,0,-6,-5,0,1,1
Bayern v Hoffenheim,0,2.799999999999997,1,3,-5,12,9,-5,10,-6,32,-23,0,0,7,-7,-1,1,1,4,1,0,1,0,25,17,-8,12,-1,0,-10,-5,12,5,2
Bayern v Kaiserslautern,0,2.1999999999999957,-5,-5,165,24,174,85,76,6,132,24,-3,3,3,-3,-3,-3,0,0,-1,0,1,0,94,150,56,-10,0,0,-8,-6,7,2,1
Bayern v Leverkusen,0,1.0,2,0,-83,16,-85,-55,-28,2,-69,-14,2,-2,-4,4,4,4,3,5,1,0,0,0,-24,-90,-66,1,0,0,-4,0,0,4,2
Bayern v Mainz,2,0.19999999999999574,-2,-2,181,23,159,113,66,23,111,50,-2,2,12,-12,0,0,-1,11,1,0,-1,0,81,172,91,-6,-2,0,-1,1,5,2,-2
Bayern v Nuernberg,0,1.1000000000000014,4,3,105,9,109,60,56,17,88,11,1,-1,-4,4,4,3,1,3,0,0,2,0,69,96,27,-5,0,0,5,-1,-8,-6,1
Bayern v Schalke,0,0.30000000000000426,11,3,53,20,52,26,35,66,13,-20,1,-1,8,-8,8,8,2,6,3,0,1,0,82,52,-30,10,-1,0,7,6,-3,-1,4
Bayern v St. Pauli,0,-1.8000000000000043,3,2,67,12,78,24,51,20,50,10,3,-3,11,-11,4,2,0,10,2,0,2,0,37,78,41,4,-1,0,1,2,2,1,1
Bayern v Stuttgart,0,1.4999999999999964,-1,0,40,-2,36,22,20,-5,55,-7,-1,1,3,-3,-3,-3,0,0,0,0,2,0,23,27,4,-7,0,0,-9,-4,5,5,0
Bayern v Werder Bremen,1,1.5,2,3,64,19,72,40,34,35,37,3,1,-1,2,-2,0,-2,0,8,0,0,4,0,55,69,14,-3,0,0,0,-2,-3,-2,0
Bayern v Wolfsburg,0,0.7999999999999972,4,2,148,-6,164,66,78,-13,151,6,1,-1,7,-7,3,3,1,0,-1,0,3,0,99,158,59,1,0,0,-15,-9,11,6,1
Borussia Dortmund v Bayern,0,-3.3999999999999986,-1,-2,-90,-23,-70,-45,-51,-12,-65,-19,-4,4,-3,3,-2,-2,0,-1,-3,0,1,0,-49,-92,-43,1,0,0,8,2,-14,-6,0
Borussia Dortmund v Mönchengladb.,0,-0.6999999999999993,8,5,203,20,201,109,114,75,138,11,4,-4,4,-4,7,7,1,14,9,0,0,0,157,217,60,1,0,0,-12,-10,10,2,0
Borussia Dortmund v Eintracht Frankfurt,0,0.1999999999999993,1,-1,108,-12,113,72,26,14,71,15,1,-1,1,-1,-1,2,0,0,2,0,1,0,49,107,58,1,-1,0,-11,-13,3,-2,0
Borussia Dortmund v FC Cologne,0,-0.9000000000000021,4,1,104,4,114,50,64,38,80,-1,2,-2,3,-3,4,4,1,9,3,0,1,0,88,110,22,-1,0,0,-11,-6,5,5,1
Borussia Dortmund v Freiburg,0,-0.10000000000000142,10,5,22,7,40,21,11,37,10,-15,3,-3,7,-7,7,6,1,12,3,0,-1,0,68,22,-46,-1,0,0,-6,-4,0,2,2
Borussia Dortmund v Hamburg,0,-1.2999999999999972,2,0,24,-26,20,18,6,-12,30,7,1,-1,-4,4,1,1,0,2,1,0,0,0,-30,16,46,1,0,0,22,15,-15,-7,0
Borussia Dortmund v Hannover,0,-1.8999999999999986,4,1,-19,-12,-8,-20,-4,-18,-7,3,-2,2,1,-1,2,1,0,0,3,0,-1,0,-9,-12,-3,4,0,0,5,3,-4,-2,0
Borussia Dortmund v Hoffenheim,1,0.40000000000000213,2,-1,104,12,106,58,55,46,66,3,2,-2,12,-12,-1,-1,-1,7,1,0,1,0,98,103,5,1,-3,0,6,4,-5,-2,-1
Borussia Dortmund v Kaiserslautern,0,-1.2000000000000028,3,2,50,-13,32,37,16,8,62,-18,-2,2,4,-4,2,0,1,-2,-1,0,4,0,47,38,-9,-8,0,0,2,3,4,1,2
Borussia Dortmund v Leverkusen,2,-1.0,0,2,80,24,83,51,25,18,39,20,0,0,-2,2,0,0,-2,0,-1,0,1,0,27,49,22,-7,0,0,1,-3,-4,-4,-2
Borussia Dortmund v Mainz,1,-1.2999999999999972,1,0,-4,-8,-8,-3,3,28,-4,-24,1,-1,-3,3,1,1,1,3,1,0,-3,0,12,-27,-39,-2,-1,0,5,0,-9,-5,1
Borussia Dortmund v Nuernberg,0,-0.3000000000000007,2,2,32,-11,32,21,4,18,18,-11,-1,1,-2,2,2,1,0,3,0,0,0,0,45,27,-18,3,-1,0,4,3,-3,-1,2
Borussia Dortmund v Schalke,1,-1.0,7,5,55,-4,67,36,27,43,4,15,0,0,5,-5,4,5,0,6,0,0,3,0,55,51,-4,-3,-2,0,4,2,-2,-2,0
Borussia Dortmund v St. Pauli,0,-2.5,13,10,113,5,103,73,59,78,52,1,2,-2,-2,2,8,6,1,6,3,0,-1,0,129,100,-29,2,-1,0,12,10,-4,-2,1
Borussia Dortmund v Stuttgart,1,-0.10000000000000142,3,1,92,11,103,43,44,38,64,-15,-3,3,0,0,3,3,1,1,2,0,0,0,96,98,2,6,-1,0,-2,5,10,7,1
Borussia Dortmund v Werder Bremen,0,-1.1999999999999993,4,1,-19,21,-12,-4,-6,12,-19,-4,0,0,4,-4,2,1,0,6,3,0,0,0,9,-5,-14,7,-1,0,-3,0,6,3,1
Borussia Dortmund v Wolfsburg,0,-1.6999999999999957,6,5,114,5,108,77,51,26,75,25,2,-2,5,-5,3,4,0,6,4,0,-1,0,65,102,37,-2,-2,0,5,2,-1,-3,0
Mönchengladb. v Bayern,1,-1.8999999999999986,-2,-1,-234,-42,-247,-132,-124,-84,-168,-8,-5,5,-6,6,-4,-6,-2,-23,-6,0,1,0,-206,-259,-53,2,1,0,-1,-4,-4,-3,-1
Mönchengladb. v Borussia Dortmund,0,0.6999999999999993,-7,-7,3,19,2,7,-22,-39,-6,29,-4,4,5,-5,-3,-3,1,-12,0,0,1,0,-73,19,92,10,0,0,-1,0,2,1,1
Mönchengladb. v Eintracht Frankfurt,2,-0.8999999999999986,0,1,-48,-15,-39,-23,-34,-11,-52,4,1,-1,-4,4,1,1,-1,-1,0,0,1,0,-33,-50,-17,-2,-2,0,-6,3,10,9,-2
Mönchengladb. v FC Cologne,0,1.0999999999999979,10,5,105,5,112,54,60,20,74,21,2,-2,1,-1,7,6,3,5,0,0,1,0,54,113,59,3,0,0,-4,-3,1,1,3
Mönchengladb. v Freiburg,0,0.09999999999999787,0,-1,-7,-9,2,-2,-5,-26,-7,25,-5,5,-1,1,2,2,0,-9,0,0,0,0,-64,-7,57,5,0,0,-3,-2,4,1,0
Mönchengladb. v Hamburg,2,0.09999999999999787,5,3,28,9,20,24,1,-9,-9,42,-1,1,-2,2,4,4,0,2,0,0,-2,0,-44,25,69,3,0,0,7,3,-6,-4,0
Mönchengladb. v Hannover,2,-1.5999999999999979,5,2,21,3,22,6,13,4,11,5,0,0,2,-2,0,0,0,2,1,0,0,0,-9,26,35,12,0,1,-1,-2,3,-1,1
Mönchengladb. v Hoffenheim,0,3.3000000000000043,-1,1,13,10,18,8,11,27,11,-19,0,0,4,-4,1,1,0,1,2,0,-2,0,34,25,-9,15,0,0,0,0,1,0,0
Mönchengladb. v Kaiserslautern,2,1.3999999999999986,-1,1,86,-3,75,62,25,34,29,24,2,-2,5,-5,0,-1,0,-1,1,0,-2,0,69,70,1,2,1,0,3,1,-3,-2,0
Mönchengladb. v Leverkusen,2,0.6999999999999993,0,1,-163,-6,-157,-96,-70,-32,-101,-37,1,-1,-5,5,1,1,-1,0,0,0,0,0,-68,-154,-86,3,0,0,5,4,-3,-1,-2
Mönchengladb. v Mainz,2,-0.7000000000000028,-2,0,-18,-9,-41,14,-40,-25,-8,8,1,-1,-1,1,-2,-2,0,-8,-3,0,-1,0,-60,-28,32,-6,0,0,2,0,-1,-2,0
Mönchengladb. v Nuernberg,1,0.09999999999999787,-1,-1,72,-5,64,61,20,10,43,27,-2,2,2,-2,-1,-1,-1,6,0,0,5,0,36,80,44,1,0,0,1,3,1,2,0
Mönchengladb. v Schalke,0,0.0,6,4,11,3,9,8,9,53,-36,-1,2,-2,-4,4,8,8,2,4,2,0,-1,0,47,19,-28,1,0,0,0,-1,-2,-1,1
Mönchengladb. v St. Pauli,2,-0.8999999999999986,4,2,-67,8,-66,-47,-23,-20,-46,-6,-1,1,4,-4,2,1,0,-2,-1,0,-1,0,-46,-68,-22,2,1,0,5,5,-3,0,1
Mönchengladb. v Stuttgart,2,1.0999999999999979,6,4,-57,1,-51,-41,-13,-13,-40,-1,1,-1,-3,3,6,7,2,-1,2,0,0,0,-51,-57,-6,1,-1,0,4,0,-4,-4,2
Mönchengladb. v Werder Bremen,2,-0.6999999999999993,1,2,-71,-10,-73,-27,-40,8,-65,-7,0,0,2,-2,2,3,0,-1,0,0,2,0,-36,-71,-35,-3,1,0,2,4,5,2,-2
Mönchengladb. v Wolfsburg,1,-0.09999999999999787,12,5,27,9,37,33,3,39,-16,14,1,-1,4,-4,7,7,-1,7,3,0,2,0,67,23,-44,-5,2,0,3,-5,-5,-8,-1
Eintracht Frankfurt v Bayern,1,-0.3000000000000007,-3,-4,-61,-15,-64,-33,-27,-34,-24,-3,-3,3,1,-1,-2,-3,0,-5,-5,0,-4,0,-85,-71,14,7,1,0,2,-3,-3,-5,0
Eintracht Frankfurt v Borussia Dortmund,0,1.0,2,3,-1,-11,-14,6,-2,-13,1,16,-1,1,-3,3,5,1,0,0,3,0,-2,0,-40,-1,39,-1,1,0,6,6,-1,0,0
Eintracht Frankfurt v Mönchengladb.,2,-0.1999999999999993,7,4,111,0,121,64,48,9,86,18,1,-1,6,-6,5,5,0,9,2,0,-1,0,77,121,44,6,0,0,-9,-5,7,4,0
Eintracht Frankfurt v FC Cologne,2,-0.6000000000000014,2,0,82,9,72,46,48,20,49,26,1,-1,4,-4,0,0,-1,3,-1,0,2,0,23,81,58,-2,1,0,-2,-1,3,1,-1
Eintracht Frankfurt v Freiburg,2,0.3000000000000007,-2,-2,70,3,52,56,21,14,56,9,0,0,5,-5,-3,-4,0,8,2,0,-1,0,34,66,32,-1,-1,0,5,8,1,3,0
Eintracht Frankfurt v Hamburg,2,-3.400000000000002,1,0,-39,-19,-35,-29,-10,-33,3,-9,0,0,-2,2,2,0,0,-3,-2,0,0,0,-23,-33,-10,4,2,0,-9,-9,2,0,1
Eintracht Frankfurt v Hannover,2,-1.1999999999999993,-1,-1,101,22,110,44,65,41,43,25,-1,1,7,-7,-1,-1,-2,7,0,0,5,0,102,120,18,12,0,0,-9,-4,6,5,-2
Eintracht Frankfurt v Hoffenheim,2,2.3999999999999986,-3,-3,-9,-3,-8,3,-10,11,-11,-7,-2,2,6,-6,1,2,-1,1,-2,0,-2,0,20,-3,-23,8,-2,0,-10,-7,7,3,-1
Eintracht Frankfurt v Kaiserslautern,1,0.1999999999999993,-2,-2,11,4,10,-3,-10,-25,-4,18,-1,1,3,-3,-2,-2,0,-10,-6,0,1,0,-29,19,48,5,1,0,4,4,-1,0,0
Eintracht Frankfurt v Leverkusen,2,-0.5999999999999979,-2,0,-24,-7,-33,-11,-16,-30,-16,20,0,0,-6,6,-2,-2,-1,-3,-1,0,-2,0,-64,-27,37,8,2,0,1,1,-5,0,-2
Eintracht Frankfurt v Mainz,0,0.10000000000000142,5,3,89,11,97,62,42,58,39,9,2,-2,-2,2,2,2,0,15,5,0,-2,0,100,101,1,-1,-1,0,-3,-1,-2,2,0
Eintracht Frankfurt v Nuernberg,0,0.8000000000000043,3,2,31,-16,30,26,6,12,10,10,2,-2,2,-2,0,0,1,9,2,0,-2,0,19,39,20,3,0,0,-1,1,7,2,1
Eintracht Frankfurt v Schalke,1,0.5,2,-2,20,-23,20,28,-4,3,-1,22,-2,2,4,-4,1,1,0,-4,-2,0,1,0,-6,15,21,-1,0,0,0,0,2,0,0
Eintracht Frankfurt v St. Pauli,0,-2.1000000000000014,3,1,15,13,13,0,12,7,0,5,1,-1,-1,1,0,0,0,3,3,0,-1,0,13,32,19,6,-1,0,2,0,-2,-2,0
Eintracht Frankfurt v Stuttgart,2,-0.1999999999999993,9,2,71,-8,70,44,31,15,71,-11,3,-3,-2,2,7,7,0,8,5,0,1,0,83,75,-8,-1,1,-1,3,1,-2,-2,0
Eintracht Frankfurt v Werder Bremen,1,0.10000000000000142,1,-2,13,6,19,16,10,15,13,-3,1,-1,1,-1,0,2,0,3,-1,0,4,0,21,14,-7,1,0,0,5,2,-3,-3,0
Eintracht Frankfurt v Wolfsburg,0,-0.30000000000000426,2,-1,23,5,28,16,13,-1,32,-2,-2,2,5,-5,1,1,1,2,3,0,1,0,8,32,24,5,-1,0,4,-1,-6,-5,2
FC Cologne v Bayern,0,-1.3999999999999986,-2,-1,-100,-20,-101,-49,-62,-26,-74,-11,-3,3,1,-1,-1,0,-2,-10,-4,0,-1,0,-69,-106,-37,4,-1,0,4,0,-3,-4,-2
FC Cologne v Borussia Dortmund,2,0.5999999999999979,-2,0,13,-8,2,-3,19,-5,30,-9,2,-2,-7,7,-5,-6,0,-3,-4,0,1,0,27,11,-16,-2,-1,0,-5,-1,12,4,-1
FC Cologne v Mönchengladb.,2,-1.3999999999999986,-5,-2,-4,7,4,-1,1,3,7,-9,-5,5,4,-4,0,1,0,0,1,0,0,0,41,9,-32,2,0,0,-4,0,4,4,0
FC Cologne v Eintracht Frankfurt,0,0.3999999999999986,-2,-1,-136,-14,-128,-85,-63,-29,-74,-43,-1,1,-5,5,0,0,0,-11,-1,0,0,0,-56,-138,-82,5,2,0,1,-1,-1,-2,0
FC Cologne v Freiburg,0,-1.0,2,1,6,-7,3,18,3,15,-12,18,2,-2,2,-2,-2,-1,0,7,5,0,0,0,0,-9,-9,-9,0,0,7,3,-10,-4,0
FC Cologne v Hamburg,0,-0.8999999999999986,-1,-3,-76,1,-79,-20,-56,-25,-42,-10,0,0,2,-2,-2,-2,0,3,-2,0,2,0,-55,-87,-32,1,-1,0,7,8,0,1,0
FC Cologne v Hannover,0,-0.5999999999999979,-6,-5,-48,6,-46,-32,-24,-31,-24,0,-3,3,1,-1,-7,-7,0,-2,0,0,2,0,-35,-28,7,6,-1,0,4,1,-2,-3,1
FC Cologne v Hoffenheim,1,1.3999999999999986,3,3,-25,-3,-28,-22,-11,-8,-11,-17,1,-1,5,-5,3,2,1,-5,-1,0,-1,0,-6,-39,-33,-3,0,0,7,5,-4,-2,1
FC Cologne v Kaiserslautern,2,0.8999999999999986,-2,-3,-42,-6,-39,-31,-13,-25,-13,-7,0,0,10,-10,-4,-5,0,-6,-4,0,-1,0,-16,-35,-19,11,-1,1,-4,-2,5,2,1
FC Cologne v Leverkusen,0,0.20000000000000284,-6,-1,-61,-17,-65,-31,-29,-5,-27,-29,-2,2,1,-1,-5,-5,0,-3,-2,0,-1,0,-27,-75,-48,-16,0,0,-4,2,4,6,0
FC Cologne v Mainz,0,-0.1999999999999993,1,-1,-68,-6,-78,-25,-49,-23,-52,0,3,-3,-3,3,2,2,0,4,1,0,-1,0,-62,-61,1,10,0,0,2,3,0,1,1
