_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Milan v Atalanta,0,0.6999999999999993,4,1,42,4,43,38,3,30,-4,14,-2,2,-5,5,7,7,1,3,3,0,-1,0,30,43,13,-6,0,0,3,4,-1,1,1
AC Milan v Bologna,0,0.09999999999999787,2,-1,238,36,245,145,104,116,107,27,1,-1,1,-1,1,2,0,12,1,0,1,0,205,237,32,-2,0,0,-3,-4,-1,-1,0
AC Milan v Cagliari,0,0.5,7,6,92,-1,89,52,49,36,64,2,1,-1,-4,4,5,4,1,1,2,0,-2,0,66,77,11,-7,-1,0,-3,-2,0,1,1
AC Milan v Catania,0,1.5,3,0,19,13,26,7,15,8,12,-2,0,0,4,-4,-1,-1,1,0,0,0,1,0,37,33,-4,-1,-2,0,-14,-7,12,7,1
AC Milan v Chievo,0,-0.3000000000000007,2,2,22,5,19,16,10,-1,9,17,4,-4,-2,2,1,1,2,5,0,0,-1,0,-28,20,48,-2,0,0,12,11,-8,-1,2
AC Milan v Fiorentina,2,-0.9000000000000021,8,4,-1,10,8,-4,13,27,-18,-3,4,-4,-2,2,7,3,0,9,5,0,0,0,28,23,-5,4,-1,0,-11,-7,6,4,-1
AC Milan v Genoa,1,-0.5,13,9,93,2,96,61,43,92,46,-31,5,-5,5,-5,12,9,1,13,6,0,1,0,157,88,-69,-5,2,-1,-2,1,4,3,0
AC Milan v Inter,0,-1.0,8,3,21,11,17,18,4,17,4,1,3,-3,-2,2,7,2,0,3,1,0,-1,0,11,24,13,5,0,0,6,4,-5,-2,0
AC Milan v Juventus,2,-1.5000000000000036,10,7,62,20,69,35,40,40,44,-11,3,-3,-5,5,7,1,-1,14,1,0,1,0,69,68,-1,2,0,0,-2,4,2,6,-1
AC Milan v Lazio,1,0.5999999999999979,8,5,87,18,82,48,49,57,26,15,1,-1,3,-3,8,1,0,3,1,0,-3,0,73,79,6,-2,0,0,0,2,-1,2,0
AC Milan v Livorno,0,1.8999999999999986,3,3,141,29,142,86,58,67,70,7,1,-1,-2,2,2,2,1,4,1,0,-1,0,115,145,30,3,0,0,-13,-13,5,0,1
AC Milan v Napoli,2,-0.5,3,3,45,8,47,29,31,39,29,-7,0,0,-1,1,2,0,-1,10,2,0,1,0,65,46,-19,-4,0,0,-1,-3,0,-2,-1
AC Milan v Parma,2,0.8000000000000007,-6,2,-33,-4,-39,0,-24,-8,-14,-3,-2,2,-3,3,-2,-2,0,2,-1,0,2,0,-17,-42,-25,-1,2,1,-5,-4,2,1,-1
AC Milan v Roma,1,0.7999999999999972,-3,-3,-98,-9,-91,-60,-50,-51,-53,-5,-3,3,-1,1,-5,0,0,-3,0,0,1,0,-69,-80,-11,9,-1,0,3,5,-2,2,0
AC Milan v Sampdoria,0,1.5,-1,0,149,20,148,108,68,89,99,-10,2,-2,3,-3,-2,2,0,18,2,0,3,0,145,149,4,-4,-2,0,-3,-1,3,2,0
AC Milan v Sassuolo,0,1.0,5,2,85,14,75,41,54,59,27,10,2,-2,-4,4,4,-3,0,7,-1,0,3,0,69,74,5,-7,0,0,0,5,-1,5,2
AC Milan v Torino,1,0.09999999999999787,9,9,94,7,98,95,24,108,48,-36,7,-7,1,-1,7,4,0,26,2,0,-2,0,161,90,-71,1,0,0,0,-2,1,-2,-1
AC Milan v Udinese,0,1.7999999999999972,1,0,52,3,44,38,17,0,24,32,-2,2,-4,4,0,1,1,-4,-2,0,-1,0,-9,30,39,-6,0,0,-2,-1,4,1,1
AC Milan v Verona,0,0.5,10,5,245,12,248,153,107,137,121,4,1,-1,0,0,10,2,0,12,3,0,-2,0,238,245,7,-11,0,0,-3,-2,1,1,0
Atalanta v AC Milan,0,-0.09999999999999787,3,0,21,-10,22,7,6,-1,-2,19,0,0,-3,3,6,5,0,1,4,0,-1,0,-20,31,51,1,0,0,5,8,-2,3,0
Atalanta v Bologna,0,1.3000000000000007,1,-3,-15,-12,-18,7,-12,33,-32,-9,1,-1,1,-1,-2,0,0,5,-1,0,-1,0,17,-22,-39,-5,0,0,-10,-6,2,4,0
Atalanta v Cagliari,0,1.9000000000000021,4,2,-37,-8,-32,-24,-7,-1,-34,4,0,0,0,0,1,1,0,2,1,0,1,0,-22,-37,-15,9,1,0,10,9,-8,-1,0
Atalanta v Catania,0,0.8999999999999986,1,2,-7,-9,-1,1,-16,-13,-17,12,-5,5,-1,1,0,4,0,-3,3,0,1,0,-38,-9,29,3,0,0,4,1,-6,-3,0
Atalanta v Chievo,0,-0.1999999999999993,0,-1,-46,1,-38,-30,-14,-27,-10,-8,-1,1,-2,2,1,0,0,-4,0,0,0,0,-40,-33,7,-3,-2,0,-3,0,8,3,1
Atalanta v Fiorentina,2,0.10000000000000142,-1,1,-104,-14,-101,-51,-53,-10,-76,-19,1,-1,2,-2,1,4,0,4,1,0,2,0,-55,-99,-44,2,1,0,-1,3,1,4,-1
Atalanta v Genoa,1,0.9000000000000021,2,0,21,2,23,8,10,-4,11,12,2,-2,2,-2,2,2,-1,-3,-3,0,0,0,11,21,10,3,0,0,2,1,-1,-1,-1
Atalanta v Inter,1,1.0999999999999979,-1,1,13,4,2,11,5,7,-5,15,2,-2,5,-5,-3,1,0,8,1,0,0,0,-4,0,4,-8,0,0,5,5,-4,0,0
Atalanta v Juventus,2,-1.3999999999999986,-3,-1,-51,-18,-59,-33,-23,-65,7,1,-2,2,8,-8,-4,-1,1,-7,-2,0,0,0,-80,-61,19,-5,-1,0,7,7,-4,0,0
Atalanta v Lazio,0,1.4000000000000021,-2,-2,-115,-4,-118,-66,-45,-13,-75,-24,4,-4,3,-3,-2,2,0,2,3,0,4,0,-63,-110,-47,-4,-1,0,6,3,-9,-3,1
Atalanta v Livorno,0,2.0,3,0,70,0,57,52,31,54,15,13,3,-3,-2,2,2,4,0,13,4,0,-1,0,59,76,17,-3,-1,0,5,3,-3,-2,1
Atalanta v Napoli,0,1.7000000000000028,-1,-3,25,12,9,28,16,37,-26,33,-2,2,-1,1,-2,1,0,5,2,0,1,0,10,24,14,3,0,0,3,6,2,3,0
Atalanta v Parma,2,-0.1999999999999993,7,6,24,-11,29,20,15,25,-4,14,0,0,3,-3,5,3,-1,8,2,0,1,0,23,44,21,1,-2,0,-10,-3,9,7,-1
Atalanta v Roma,1,0.9000000000000021,-1,1,-78,9,-83,-36,-14,49,-58,-41,1,-1,2,-2,-1,0,0,15,2,0,1,0,-2,-78,-76,2,1,0,-1,-2,2,-1,0
Atalanta v Sampdoria,0,3.0,1,0,-13,-11,-8,14,-8,43,-17,-20,5,-5,4,-4,2,5,2,11,4,0,0,0,34,-18,-52,-8,-1,0,-6,-3,5,3,2
Atalanta v Sassuolo,2,0.7999999999999972,-1,2,49,-6,35,35,18,13,22,17,-1,1,6,-6,-1,-2,0,-1,-1,0,3,0,-4,36,40,-1,-2,0,9,8,-9,-1,-1
Atalanta v Torino,0,0.3999999999999986,-2,-3,-57,5,-52,-22,-22,33,-41,-36,2,-2,-1,1,-1,0,0,7,0,0,0,0,27,-51,-78,1,0,0,-7,-4,-1,3,0
