_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Milan v Atalanta,2,-0.3999999999999986,-1,1,157,7,151,104,71,71,83,22,1,-1,0,0,-3,-4,-1,9,2,0,0,0,139,149,10,-7,0,0,-10,-3,13,7,-1
AC Milan v Cagliari,0,2.1000000000000014,4,3,81,23,77,28,58,21,57,11,3,-3,-2,2,5,3,0,7,3,0,1,0,47,81,34,5,-2,0,2,3,-4,1,1
AC Milan v Cesena,0,-0.5,-2,-5,158,15,153,93,78,51,79,43,4,-4,6,-6,-3,-3,0,11,3,0,1,0,72,172,100,1,0,0,0,2,4,2,1
AC Milan v Chievo,0,-0.1999999999999993,6,1,121,3,127,85,44,45,44,42,2,-2,5,-5,3,5,0,8,1,0,0,0,71,135,64,-1,-2,0,-6,1,1,7,0
AC Milan v Empoli,1,1.1999999999999993,-2,-2,-72,19,-79,-38,-24,-4,-65,5,0,0,1,-1,-2,0,1,3,-1,0,0,0,-67,-75,-8,7,0,0,-2,0,2,2,1
AC Milan v Fiorentina,1,0.10000000000000142,1,1,-94,6,-88,-44,-45,-31,-50,-12,-1,1,-2,2,1,2,1,2,2,0,2,0,-87,-84,3,9,-1,0,0,1,-1,1,1
AC Milan v Genoa,2,2.1999999999999993,-4,-3,98,-1,95,39,50,-16,81,25,-3,3,3,-3,-6,-1,0,-6,0,0,2,0,7,88,81,-2,-1,0,1,-1,0,-2,-1
AC Milan v Inter,1,1.3999999999999986,0,-2,-15,14,-18,3,-20,-1,-31,11,0,0,-2,2,0,0,1,-4,1,0,0,0,-45,-7,38,5,0,0,-4,-3,-3,1,1
AC Milan v Juventus,2,-0.8000000000000007,-1,1,-101,19,-98,-50,-56,-41,-92,27,-1,1,4,-4,-3,-1,0,1,-1,0,0,0,-100,-98,2,9,-1,0,12,7,-8,-5,0
AC Milan v Lazio,0,0.0,0,-1,49,17,40,19,28,9,15,24,-2,2,3,-3,1,1,1,-9,1,0,2,0,-31,39,70,-6,-1,0,3,2,-1,-1,1
AC Milan v Napoli,0,1.3000000000000007,-1,-3,55,24,54,9,35,-24,34,34,1,-1,-3,3,1,-2,0,-9,0,0,0,0,-12,66,78,6,1,0,-3,-1,1,2,1
AC Milan v Palermo,2,1.5999999999999979,-3,-5,82,11,80,48,24,1,34,38,-3,3,5,-5,-3,1,0,0,-1,0,2,0,16,83,67,1,-2,0,-4,1,5,5,0
AC Milan v Parma,0,-2.1999999999999993,0,0,89,0,93,49,37,-8,83,13,-4,4,-1,1,0,0,0,-6,-2,0,0,0,6,98,92,4,0,0,-8,-8,6,0,0
AC Milan v Roma,0,-1.0,1,-1,-8,-13,-8,-5,-4,27,-19,-16,1,-1,3,-3,2,2,1,2,1,0,3,0,5,-5,-10,5,-1,0,3,0,-4,-3,1
AC Milan v Sampdoria,1,1.1000000000000014,8,5,52,-1,57,44,17,20,39,-1,-1,1,6,-6,6,4,0,6,5,0,0,0,61,59,-2,-4,-1,0,-1,1,3,2,0
AC Milan v Sassuolo,2,-1.6999999999999993,1,-1,62,-2,61,33,34,21,36,10,2,-2,-5,5,-1,-1,-1,4,1,0,2,0,58,69,11,2,1,0,0,0,0,0,0
AC Milan v Torino,0,0.0,1,-1,-29,14,-27,-3,-22,18,18,-62,0,0,-1,1,1,1,1,-1,-1,0,1,0,32,-30,-62,4,1,1,4,0,-3,-4,1
AC Milan v Udinese,0,1.7999999999999972,4,4,116,-17,115,95,54,95,61,-6,5,-5,-4,4,2,2,0,24,4,0,0,0,157,104,-53,-2,0,0,-6,-4,2,2,0
AC Milan v Verona,1,-1.4000000000000021,3,1,169,-6,174,92,75,51,97,20,1,-1,3,-3,3,-1,0,1,2,0,-1,0,143,171,28,-5,0,0,-1,-1,1,0,0
Atalanta v AC Milan,2,3.099999999999998,2,0,-118,-14,-112,-65,-53,-33,-52,-37,-4,4,-3,3,3,3,1,-1,1,0,-1,0,-60,-125,-65,3,0,0,0,-1,3,-1,-1
Atalanta v Cagliari,0,4.600000000000001,0,-3,-26,15,-17,-6,-8,-2,-19,7,5,-5,1,-1,1,4,1,17,6,0,1,0,-26,-9,17,7,0,0,6,3,-6,-3,0
Atalanta v Cesena,0,1.3000000000000007,2,-1,157,8,150,117,67,90,66,27,2,-2,0,0,1,3,1,15,6,0,1,0,132,158,26,-5,0,0,-7,-6,-1,1,-1
Atalanta v Chievo,1,0.6999999999999993,3,4,-31,-13,-27,-12,-9,48,-47,-22,2,-2,1,-1,2,3,0,9,1,0,-2,0,39,-25,-64,2,1,0,-2,-1,0,1,0
Atalanta v Empoli,1,3.3999999999999986,-8,-6,-24,16,-26,-13,0,21,-19,-16,2,-2,-2,2,-5,-4,0,9,0,0,4,0,9,-10,-19,7,1,0,-3,2,1,5,0
Atalanta v Fiorentina,2,0.8999999999999986,-2,-2,-122,-3,-113,-92,-35,-77,-27,-22,-3,3,3,-3,-6,-5,0,-9,-3,0,3,0,-98,-137,-39,-4,1,0,-1,-3,-10,-2,0
Atalanta v Genoa,2,5.099999999999998,-2,-1,-117,2,-113,-70,-60,-70,-48,-12,-3,3,7,-7,-2,0,-1,-9,-5,0,-2,0,-118,-124,-6,0,0,0,5,3,-3,-2,0
Atalanta v Inter,2,2.6999999999999993,1,0,-109,9,-104,-54,-43,-13,-72,-13,3,-3,4,-4,2,5,1,9,4,0,3,0,-41,-120,-79,-5,1,0,-7,-7,-4,0,-1
Atalanta v Juventus,2,0.8000000000000007,-5,-2,-35,17,-40,-29,-5,-41,-2,10,0,0,1,-1,-4,-3,-1,-1,0,0,0,0,-74,-32,42,1,0,0,-3,0,2,3,-1
Atalanta v Lazio,1,1.8000000000000007,4,3,35,-2,25,36,13,41,24,-16,3,-3,3,-3,1,4,0,2,2,0,0,0,75,40,-35,2,-2,0,-4,-4,1,0,0
Atalanta v Napoli,1,1.9000000000000021,-6,-1,-310,1,-292,-168,-152,-95,-179,-47,-3,3,-6,6,-8,-4,0,-6,-4,0,2,0,-229,-299,-70,6,0,0,3,1,-9,-2,0
Atalanta v Palermo,1,2.299999999999997,-4,-4,29,4,33,34,-2,0,12,20,-5,5,1,-1,-5,-4,-2,1,-2,0,0,0,21,26,5,0,1,-1,-3,-1,-1,2,-2
Atalanta v Parma,0,1.1999999999999993,0,-2,-8,0,-6,7,-4,9,-17,12,1,-1,0,0,0,2,0,14,4,0,1,0,6,8,2,2,2,0,1,5,2,4,0
Atalanta v Roma,2,2.200000000000003,0,0,-82,0,-85,-46,-27,12,-53,-32,-2,2,-8,8,1,2,0,5,2,0,-2,0,-20,-87,-67,0,1,0,4,-1,-5,-5,-1
Atalanta v Sampdoria,2,2.8999999999999986,2,-1,-35,-1,-39,15,-28,10,-5,-19,-3,3,2,-2,1,2,1,11,5,0,-1,0,-25,-36,-11,0,-1,0,0,1,3,1,1
Atalanta v Sassuolo,0,1.0,4,0,-30,-1,-36,-28,5,10,-14,-19,0,0,-5,5,3,1,1,-1,1,0,1,0,-16,-42,-26,-8,1,0,-2,-4,-2,-2,1
Atalanta v Torino,2,0.10000000000000142,-1,2,-57,-14,-51,-25,-25,4,-14,-39,-1,1,4,-4,-2,-1,-1,4,1,0,0,0,19,-60,-79,4,0,0,-7,-7,6,0,-2
Atalanta v Udinese,1,4.300000000000001,10,4,72,-2,74,64,24,55,28,5,1,-1,-1,1,8,3,0,10,4,0,0,0,77,73,-4,-5,2,0,-3,0,7,3,0
