_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Almeria v Athletic Club,2,1.30,0,3,-34,6,-37,-21,-8,18,-32,-15,-1,1,1,-1,-2,-2,0,-2,-3,0,-1,0,0,-34,-34,8,0,0,0,-2,2,-2,0
Almeria v Atletico,1,1.10,0,0,-71,-9,-69,-20,-40,21,-45,-35,2,-2,-4,4,-1,0,-1,8,5,0,0,0,17,-48,-65,10,0,0,3,3,1,0,-1
Almeria v Barcelona,2,0.60,-4,-2,-312,-25,-305,-154,-161,-97,-176,-44,0,0,-3,3,-4,-2,-1,-2,0,0,-1,0,-203,-307,-104,5,1,0,-3,-7,3,-4,-3
Almeria v Deportivo,1,-1.80,6,4,49,-8,51,44,1,-5,49,0,-1,1,-1,1,4,2,0,-4,1,0,2,0,46,44,-2,-15,-1,0,3,3,1,0,0
Almeria v Espanyol,0,1.60,-7,-5,-141,1,-129,-69,-71,-3,-82,-57,-1,1,-3,3,0,0,1,-1,3,0,5,0,-72,-132,-60,17,-2,0,7,5,-7,-2,2
Almeria v Getafe,2,1.60,2,3,-89,5,-75,-54,-40,-20,-55,-20,-1,1,-2,2,0,4,2,2,5,0,0,0,-36,-78,-42,7,2,0,1,1,0,0,1
Almeria v Hercules,1,-1.40,2,4,39,23,38,7,27,4,21,9,1,-1,1,-1,1,0,-1,-4,0,0,1,0,46,33,-13,-2,-1,0,2,0,1,-2,-1
Almeria v Levante,2,-1.80,2,3,35,36,38,2,20,18,15,-3,-3,3,3,-3,0,1,-1,3,-3,0,3,0,34,31,-3,-7,1,0,0,0,5,0,-1
Almeria v Malaga,1,0.00,-1,-1,-37,4,-41,-44,-11,21,-44,-28,-1,1,-1,1,-2,1,0,-4,1,0,0,0,13,-35,-48,0,0,-1,6,5,-4,-1,0
Almeria v Mallorca,0,1.10,6,1,44,7,53,16,16,-43,57,20,0,0,2,-2,5,2,1,-8,4,0,0,0,-26,56,82,0,0,0,5,5,-4,0,2
Almeria v Osasuna,0,-2.50,-5,-4,8,6,11,-6,17,8,-4,7,0,0,1,-1,-4,-2,1,0,0,0,0,0,-20,6,26,0,1,0,4,2,-1,-2,1
Almeria v Racing,1,0.20,2,1,21,2,18,5,24,-9,39,2,-1,1,-4,4,4,2,0,1,0,0,2,0,24,11,-13,-4,1,-1,4,0,-4,-4,-1
Almeria v Real Madrid,1,1.60,-6,-6,-128,6,-134,-77,-56,-32,-84,-18,-6,6,0,0,-4,-1,0,-3,-1,0,0,0,-117,-122,-5,4,-1,0,10,8,-1,-2,0
Almeria v Real Sociedad,1,0.50,5,2,102,17,109,41,54,40,44,23,5,-5,-5,5,2,2,-1,4,0,0,0,0,92,108,16,-7,-1,0,-3,-3,-1,0,-1
Almeria v Sevilla,2,1.30,-7,-6,-96,7,-107,-62,-30,1,-72,-21,1,-1,-2,2,-6,-2,0,-7,0,0,2,0,-49,-97,-48,-6,-1,0,1,-1,-2,-2,0
Almeria v Sporting Gijon,1,-0.30,1,2,54,25,56,32,28,-11,30,41,1,-1,-5,5,1,-1,1,1,-1,0,0,0,-12,55,67,-2,1,0,-7,-4,5,3,1
Almeria v Valencia,2,-0.80,-3,-4,-103,3,-100,-62,-32,-6,-61,-31,-1,1,1,-1,-1,-1,0,3,3,0,7,0,-24,-89,-65,-1,-1,0,-1,4,-1,5,0
Almeria v Villarreal,1,0.60,-2,-2,-31,23,-36,-30,-10,-1,-31,-8,-4,4,-3,3,-1,0,0,-1,-2,0,1,0,-18,-34,-16,-8,3,0,12,9,-10,-3,0
Almeria v Zaragoza,1,-0.50,-1,2,7,20,9,-10,14,7,-12,9,0,0,1,-1,-4,-2,0,1,2,0,1,0,-7,5,12,7,1,0,-3,-6,-2,-3,0
Athletic Club v Almeria,0,-0.40,8,2,45,-14,40,36,21,63,11,-17,6,-6,-4,4,6,4,1,12,4,0,-3,0,96,48,-48,3,2,0,-1,0,1,1,1
Athletic Club v Atletico,2,-0.40,3,-2,-9,-9,-11,26,-7,63,-39,-5,2,-2,-3,3,2,4,0,22,3,0,2,0,47,-24,-71,0,0,0,-5,-4,4,1,-1
Athletic Club v Barcelona,2,-1.60,-1,0,-254,-9,-254,-152,-93,-58,-144,-47,-3,3,-1,1,-4,-2,0,-1,2,0,-1,0,-161,-255,-94,7,0,1,1,-2,3,-3,0
Athletic Club v Deportivo,2,-2.30,2,2,63,4,67,39,36,37,43,-4,1,-1,-3,3,3,4,0,7,2,0,-1,0,69,55,-14,-6,0,1,-1,1,2,2,-1
Athletic Club v Espanyol,0,-0.10,-2,-3,-88,-9,-76,-44,-34,6,-80,-4,-3,3,-1,1,-4,-4,-1,10,1,0,-1,0,-42,-82,-40,8,-1,0,1,-3,-1,-4,-1
Athletic Club v Getafe,0,-0.70,7,5,3,-13,1,-6,19,52,-24,-16,4,-4,4,-4,2,1,0,7,2,0,1,0,95,0,-95,-10,-3,0,0,7,4,7,2
Athletic Club v Hercules,0,-2.70,5,0,26,-1,29,18,13,6,18,7,2,-2,0,0,3,0,1,1,1,0,1,0,32,25,-7,-5,-2,0,-3,0,1,3,1
Athletic Club v Levante,0,-1.50,2,-2,89,13,85,49,41,35,30,26,0,0,1,-1,2,0,1,9,1,0,-2,0,63,79,16,-3,0,0,3,3,-6,0,1
Athletic Club v Malaga,1,-2.40,4,5,-41,-5,-37,5,-34,49,-50,-30,-3,3,4,-4,1,1,-1,8,5,0,0,0,63,-39,-102,3,-2,0,-1,-1,4,0,-1
Athletic Club v Mallorca,0,-1.40,-4,-4,18,3,23,7,23,25,-3,5,2,-2,-3,3,-4,-4,0,8,-5,0,-1,0,26,12,-14,3,1,0,-2,-1,1,1,1
Athletic Club v Osasuna,0,-3.60,1,0,39,12,35,14,14,-20,25,24,-1,1,2,-2,2,0,0,-2,2,0,0,0,15,48,33,0,-1,0,-5,-4,2,1,0
Athletic Club v Racing,0,-0.40,1,-2,-9,3,-15,-4,9,23,-26,8,0,0,1,-1,0,3,2,2,2,0,2,0,8,-20,-28,-9,-1,0,-11,-5,11,6,2
Athletic Club v Real Madrid,2,-0.60,1,3,-29,-7,-23,-12,2,67,-54,-20,4,-4,-1,1,-1,0,0,17,5,0,-2,0,59,-33,-92,2,1,0,-1,-1,-3,0,-1
Athletic Club v Real Sociedad,0,-1.20,4,0,-14,-12,-8,-2,2,10,8,-17,2,-2,2,-2,1,3,1,7,0,0,-2,0,29,-8,-37,-2,-1,0,-6,-2,3,4,3
