_DATE,_NAME,MATCHGAME,PRE_DIFF_FORM,PRE_DIFF_GS,PRE_DIFF_GC,PRE_DIFF_ATTACK_STRENGTH,PRE_DIFF_DEFENCE_STRENGTH,PRE_DIFF_PTS,_SEASON,_LEAGUE,_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Sat. 20 Aug.,Arsenal v Liverpool,2,0.0,-1.0,-1.0,-0.5,-0.5,0.0,2011..2012,eng,Arsenal v Liverpool,2,-2.8999999999999986,1,0,-11,-5,-6,-4,-11,-32,-9,27,4,-4,-2,2,-4,0,0,1,-1,0,-3,0,-34,1,35,4,-1,0,-8,-8,1,0,0
Sat. 10 Sep.,Arsenal v Swansea City,4,-0.3571428571428571,2.0,6.0,0.27027027027027023,0.8108108108108109,-1.0,2011..2012,eng,Arsenal v Swansea,0,-0.40000000000000213,5,1,68,-13,74,55,14,55,7,9,1,-1,0,0,5,3,0,4,-1,0,-1,0,74,87,13,5,-1,0,4,5,2,1,1
Sat. 24 Sep.,Arsenal v Bolton,6,0.24193548387096772,-2.0,1.0,-0.14925373134328357,0.07462686567164167,1.0,2011..2012,eng,Arsenal v Bolton,0,-2.6000000000000014,9,4,160,-16,156,100,65,27,112,28,2,-2,3,-3,5,2,0,5,-2,0,0,0,107,146,39,-5,0,0,-3,0,-4,3,0
Sun. 16 Oct.,Arsenal v Sunderland,8,-0.08064516129032256,1.0,8.0,0.051282051282051266,0.41025641025641024,1.0,2011..2012,eng,Arsenal v Sunderland,0,1.0,1,1,148,0,148,94,57,41,84,27,3,-3,4,-4,3,0,1,6,-1,0,0,0,94,160,66,-3,0,0,-10,-4,3,6,0
Sun. 23 Oct.,Arsenal v Stoke City,9,0.06451612903225801,6.0,9.0,0.2643171806167401,0.39647577092511016,-2.0,2011..2012,eng,Arsenal v Stoke,0,-2.1999999999999993,1,-1,119,-14,117,75,50,15,87,22,2,-2,3,-3,3,1,1,4,2,0,-1,0,71,134,63,1,-1,0,-8,-4,4,4,0
Sat. 5 Nov.,Arsenal v West Bromwich,11,0.49999999999999994,11.0,8.0,0.3703703703703703,0.26936026936026936,5.0,2011..2012,eng,Arsenal v West Brom,0,-1.3000000000000007,6,2,214,12,225,138,90,72,140,19,1,-1,3,-3,3,3,0,15,2,0,-2,0,163,224,61,6,0,0,3,-1,-4,-4,2
Sat. 26 Nov.,Arsenal v Fulham,13,0.6129032258064516,11.0,7.0,0.3072625698324022,0.19553072625698326,11.0,2011..2012,eng,Arsenal v Fulham,1,-1.7000000000000028,0,-1,15,-9,17,44,-17,36,9,-18,5,-5,1,-1,1,1,0,11,0,0,1,0,53,20,-33,2,-1,0,5,6,1,1,0
Sat. 10 Dec.,Arsenal v Everton,15,0.4838709677419355,15.0,4.0,0.3631961259079903,0.0968523002421307,10.0,2011..2012,eng,Arsenal v Everton,0,-1.6000000000000014,2,4,96,-7,100,68,29,12,64,24,3,-3,0,0,3,3,0,5,1,0,2,0,48,100,52,2,1,0,-8,-4,5,4,0
Tue. 27 Dec.,Arsenal v Wolverhampton,18,0.40322580645161293,14.0,-7.0,0.28455284552845533,-0.14227642276422758,17.0,2011..2012,eng,Arsenal v Wolverhampton,1,-0.40000000000000213,2,2,188,-3,188,118,64,27,138,19,1,-1,4,-4,4,4,1,2,1,0,-1,0,120,182,62,-10,-1,0,-3,-3,4,0,0
Sat. 31 Dec.,Arsenal v QP Rangers,19,0.33870967741935487,16.0,-6.0,0.3131115459882583,-0.11741682974559686,16.0,2011..2012,eng,Arsenal v QPR,0,-3.299999999999997,4,1,116,-8,125,80,58,34,90,15,8,-8,2,-2,2,3,0,13,2,0,0,0,108,125,17,-3,1,0,0,2,4,2,0
